Time,NodeID,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/05/03 18:34:02.000000,2968,0,12.65,62.9,841.583125,1.4924731182795699,-55.0,40.58849,-105.14787,1591.06,11283.184668051123,4,9,0.87,0.0,0.008079369879143077
2021/05/03 18:34:03.000000,2968,1,12.64,62.9,841.657265,1.4881720430107528,-48.0,40.58844,-105.14789,1587.57,11283.187650148353,4,9,0.79,0.0,0.008061645600667846
2021/05/03 18:34:04.000000,2968,2,12.59,62.7,841.620312,1.4903225806451612,-49.0,40.58842,-105.14791,1583.93,11283.188160746671,4,9,0.27,0.0,0.008043161396859524
2021/05/03 18:34:05.000000,2968,3,12.56,62.4,841.6348429999999,1.4860215053763441,-49.0,40.5884,-105.14791,1581.53,11283.189808410785,4,9,0.87,0.0,0.008030973077519954
2021/05/03 18:34:06.000000,2968,4,12.5,61.7,841.640937,1.4989247311827958,-47.0,40.5884,-105.14791,1581.2,11283.189808410785,4,9,0.64,0.0,0.008029297345108379
2021/05/03 18:34:07.000000,2968,5,12.47,61.7,841.6059369999999,1.4946236559139785,-48.0,40.5884,-105.14792,1580.62,11283.18923987733,4,9,0.47,0.0,0.008026352522874635
2021/05/03 18:34:08.000000,2968,6,12.41,61.5,841.5829679999999,1.4881720430107528,-48.0,40.5884,-105.14792,1579.9,11283.18923987733,4,9,0.28,0.0,0.008022696379246873
2021/05/03 18:34:09.000000,2968,7,12.36,61.7,841.579375,1.4903225806451612,-49.0,40.5884,-105.14792,1579.7,11283.18923987733,4,9,0.33,0.0,0.008021680783794704
2021/05/03 18:34:10.000000,2968,8,12.34,62.3,841.561562,1.4860215053763441,-55.0,40.5884,-105.14792,1579.44,11283.18923987733,4,9,0.22,0.0,0.00802036050970688
2021/05/03 18:34:11.000000,2968,9,12.27,62.3,841.565781,1.4903225806451612,-52.0,40.5884,-105.14792,1578.79,11283.18923987733,4,9,0.7,0.0,0.008017059824487274
2021/05/03 18:34:12.000000,2968,10,12.26,62.9,841.5671090000001,1.5010752688172042,-56.0,40.58839,-105.14792,1578.29,11283.19006370926,4,10,1.1,0.0,0.008014520250683783
2021/05/03 18:34:13.000000,2968,11,12.22,63.7,841.556875,1.4967741935483871,-57.0,40.58839,-105.14792,1577.95,11283.19006370926,4,9,0.89,0.0,0.008012793738541085
2021/05/03 18:34:14.000000,2968,12,12.21,64.4,841.5488280000001,1.4989247311827958,-48.0,40.58839,-105.14792,1577.88,11283.19006370926,4,9,0.74,0.0,0.008012438280158764
2021/05/03 18:34:15.000000,2968,13,12.18,64.8,841.545781,1.4967741935483871,-49.0,40.5884,-105.14793,1576.83,11283.188671343789,4,10,3.57,319.43,0.008007107392514961
2021/05/03 18:34:16.000000,2968,14,12.13,64.8,841.579921,1.4989247311827958,-50.0,40.5884,-105.14793,1576.62,11283.188671343789,4,9,0.11,319.43,0.008006041017236372
2021/05/03 18:34:17.000000,2968,15,12.11,64.7,841.57789,1.4967741935483871,-50.0,40.5884,-105.14793,1576.5,11283.188671343789,4,9,0.37,319.43,0.008005431659934318
2021/05/03 18:34:18.000000,2968,16,12.07,64.5,841.585625,1.4967741935483871,-50.0,40.5884,-105.14793,1576.86,11283.188671343789,4,10,0.78,319.43,0.008007259731840475
2021/05/03 18:34:19.000000,2968,17,12.04,64.4,841.61539,1.4989247311827958,-48.0,40.5884,-105.14793,1578.06,11283.188671343789,4,9,0.87,319.43,0.008013353304860879
2021/05/03 18:34:20.000000,2968,18,12.04,64.8,841.5813280000001,1.4946236559139785,-48.0,40.5884,-105.14793,1578.42,11283.188671343789,4,10,0.27,319.43,0.008015181376766965
2021/05/03 18:34:21.000000,2968,19,12.02,65.2,841.54375,1.4860215053763441,-50.0,40.5884,-105.14793,1578.51,11283.188671343789,4,9,0.7,319.43,0.008015638394743483
2021/05/03 18:34:22.000000,2968,20,12.0,65.6,841.55164,1.4881720430107528,-56.0,40.58841,-105.14793,1578.59,11283.187847511937,4,9,1.59,319.43,0.00801604521822914
2021/05/03 18:34:23.000000,2968,21,11.97,66.2,841.538281,1.4967741935483871,-54.0,40.58841,-105.14793,1578.77,11283.187847511937,4,10,1.52,319.43,0.00801695925424891
2021/05/03 18:34:24.000000,2968,22,11.98,66.6,841.526093,1.4967741935483871,-50.0,40.5884,-105.14793,1579.04,11283.188671343789,4,9,2.28,319.43,0.008018329722827407
2021/05/03 18:34:25.000000,2968,23,11.94,66.7,841.524531,1.4838709677419355,-52.0,40.58841,-105.14793,1579.01,11283.187847511937,4,9,0.48,319.43,0.008018177968941931
2021/05/03 18:34:26.000000,2968,24,11.92,67.0,841.531953,1.4881720430107528,-52.0,40.5884,-105.14793,1578.75,11283.188671343789,4,9,0.69,319.43,0.008016857109347528
2021/05/03 18:34:27.000000,2968,25,11.92,67.3,841.494062,1.4946236559139785,-71.0,40.5884,-105.14793,1578.14,11283.188671343789,5,9,1.09,319.43,0.008013759543062233
2021/05/03 18:34:28.000000,2968,26,11.91,67.5,841.534218,1.4860215053763441,-60.0,40.5884,-105.14793,1578.56,11283.188671343789,5,9,0.26,319.43,0.008015892293619327
2021/05/03 18:34:29.000000,2968,27,11.92,68.3,841.543984,1.4881720430107528,-59.0,40.5884,-105.14792,1578.46,11283.18923987733,5,9,1.22,319.43,0.00801538409199115
2021/05/03 18:34:30.000000,2968,28,11.92,69.2,841.549843,1.4838709677419355,-58.0,40.5884,-105.14792,1578.34,11283.18923987733,5,10,1.87,319.43,0.008014774734719825
2021/05/03 18:34:31.000000,2968,29,11.91,69.2,841.5042179999999,1.4881720430107528,-60.0,40.5884,-105.14793,1578.41,11283.188671343789,5,9,2.04,319.43,0.008015130596991795
2021/05/03 18:34:32.000000,2968,30,11.92,69.2,841.540312,1.4967741935483871,-57.0,40.5884,-105.14793,1577.83,11283.188671343789,5,10,1.39,319.43,0.00801218537003198
2021/05/03 18:34:33.000000,2968,31,11.92,69.1,841.534375,1.4924731182795699,-59.0,40.5884,-105.14793,1577.5,11283.188671343789,5,10,2.44,319.43,0.008010509637451379
2021/05/03 18:34:34.000000,2968,32,11.92,68.9,841.5354679999999,1.4946236559139785,-59.0,40.58839,-105.14793,1576.84,11283.18949517562,5,10,1.15,319.43,0.00800715758765476
2021/05/03 18:34:35.000000,2968,33,11.91,68.5,841.536875,1.4924731182795699,-72.0,40.5884,-105.14794,1576.89,11283.188102810162,5,9,2.48,319.43,0.008007412474640867
2021/05/03 18:34:36.000000,2968,34,11.91,67.9,841.560156,1.4967741935483871,-72.0,40.5884,-105.14794,1576.53,11283.188102810162,5,9,0.61,319.43,0.0080055844026426
2021/05/03 18:34:37.000000,2968,35,11.9,67.8,841.543906,1.4967741935483871,-66.0,40.5884,-105.14794,1576.23,11283.188102810162,5,9,0.31,319.43,0.008004061009310698
2021/05/03 18:34:38.000000,2968,36,11.91,68.4,841.519531,1.4946236559139785,-54.0,40.58839,-105.14793,1576.23,11283.18949517562,5,9,2.31,319.43,0.008004060021595483
2021/05/03 18:34:39.000000,2968,37,11.91,68.0,841.522968,1.4924731182795699,-51.0,40.58838,-105.14792,1575.97,11283.190887541177,5,10,0.99,319.43,0.008002738759985301
2021/05/03 18:34:40.000000,2968,38,11.91,67.7,841.545156,1.4946236559139785,-52.0,40.58838,-105.14792,1575.86,11283.190887541177,5,9,0.76,319.43,0.008002180182568121
2021/05/03 18:34:41.000000,2968,39,11.91,67.5,841.533281,1.4946236559139785,-56.0,40.58838,-105.14792,1575.61,11283.190887541177,5,9,0.86,319.43,0.008000910688438164
2021/05/03 18:34:42.000000,2968,40,11.92,67.6,841.532968,1.4924731182795699,-55.0,40.58838,-105.14792,1575.17,11283.190887541177,5,9,1.07,319.43,0.007998676378769424
2021/05/03 18:34:43.000000,2968,41,11.91,67.4,841.5142179999999,1.4817204301075269,-60.0,40.58838,-105.14792,1575.47,11283.190887541177,5,9,0.43,319.43,0.008000199771725388
2021/05/03 18:34:44.000000,2968,42,11.9,66.9,841.5520309999999,1.4946236559139785,-52.0,40.58838,-105.14793,1575.35,11283.190319007432,5,10,0.27,319.43,0.007999590817623772
2021/05/03 18:34:45.000000,2968,43,11.88,66.6,841.520937,1.4924731182795699,-51.0,40.58838,-105.14793,1575.5,11283.190319007432,5,9,0.3,319.43,0.008000352514140132
2021/05/03 18:34:46.000000,2968,44,11.88,66.7,841.5425,1.4838709677419355,-49.0,40.58839,-105.14793,1575.54,11283.18949517562,5,10,0.87,319.43,0.008000556217364441
2021/05/03 18:34:47.000000,2968,45,11.88,66.5,841.5434369999999,1.4817204301075269,-50.0,40.58838,-105.14791,1575.99,11283.191456074832,5,9,2.86,319.43,0.008002839916271275
2021/05/03 18:34:48.000000,2968,46,11.89,66.3,841.547187,1.4881720430107528,-50.0,40.58839,-105.14793,1576.05,11283.18949517562,5,9,5.8,324.42,0.008003145985709129
2021/05/03 18:34:49.000000,2968,47,11.9,66.8,841.52,1.4924731182795699,-49.0,40.5884,-105.14793,1576.64,11283.188671343789,5,9,3.09,324.42,0.008006142576786715
2021/05/03 18:34:50.000000,2968,48,11.89,67.3,841.584375,1.4817204301075269,-46.0,40.5884,-105.14793,1576.72,11283.188671343789,5,9,1.03,324.42,0.008006548814988083
