FileFormat,CSV
Year,2021
Month,07
Day,21
Hour,17
Minute,54
Second,10
Pressure,,"units=mb"
Temperature,,"units=deg C"
RH,,"units=%"
Speed,,"units=m/s"
Direction,,"units=deg"
Latitude,40.5900,"units=deg"
Longitude,-105.1415,"units=deg"
Altitude,1571.9,"units=m"
GpsAltitude,1571.9,"units=m"
Ascending,"true"
Comments,""
DataType,""
EquipmentType,"0"
PlatformType,""
PlatformId,""
Project,"PRE-CIP-2021"
Flight,""
PtuWindTimeDiff,"0"
RadiationCorr,"0"
TrackingType,"19"
SondeId,"2970"
SondeModel,""
Operator,""
LaunchObsSource,"unknown"
LaunchObsTime,"unknown"
SvnRevision,"V3.4.6"
SvnLastChangedDate,"Fri Apr 30 16:17:27 2021 -0600"
Agency,""
AltInterpSpan,"60"
AspenVersion,"Aspen V3.4.6"
BlendLength,"4"
CabinTemp,"25"
ChuteArea,"900"
ConfigSetName,"upsonde-1s"
DatasetDOI,""
DiscardBadCrcData,"1"
DoQC,"1"
DragCoef,"0.61"
DropSondeMass,"320"
DropsondeHitSfc,"1"
Flight,""
GPSAltBuddySlope,"50"
GPSAltQCDev,"50"
GPSAltQCWL,"10"
GPSPosBuddySlope,"0.005"
GPSPosQCDev,"0.01"
GPSPosQCWL,"30"
IgnoreLaunchAlt,"0"
IgnoreLaunchLat,"0"
IgnoreLaunchLon,"0"
IgnoreLaunchPres,"0"
IgnoreLaunchRH,"0"
IgnoreLaunchTdry,"0"
IgnoreLaunchWdir,"0"
IgnoreLaunchWspd,"0"
ObsNum,"99"
PlatformId,""
PlatformType,""
PosInterpSpan,"60"
PresBuddySlope,"2"
PresEquilTimeOverride,"0"
PresMonoCheck,"1"
PresOffset,"0"
PresOutlier,"10"
PresQCDev,"3"
PresQCWL,"10"
PresSmoothWL,"10"
ProcessingTime,"23 Jul 2021 04:27 UTC"
Project,"PRE-CIP-2021"
QCDisclaimer,""
RHBuddySlope,"20"
RHEquilTimeOverride,"0"
RHOffset,"0"
RHOutlier,"10"
RHQCDev,"3"
RHQCWL,"10"
RHSmoothWL,"5"
RHThreshold,"0"
RHchoice,"0"
ReportObservedPos,"1"
SetHtsMissing,"0"
SfcAltUnknown,"0"
SfcAltitude,"1571.9"
SondeId,"2970"
SoundingDescription,"no_2970_L1_aspen.csv "
TdryBuddySlope,"3"
TdryDynCor,"0"
TdryDynCorWL,"60"
TdryEquilTimeOverride,"0"
TdryOffset,"0"
TdryOutlier,"10"
TdryQCDev,"0.5"
TdryQCWL,"10"
TdrySmoothWL,"10"
UseIgnoredLaunch,"1"
UseTheoryVentRate,"1"
WindBuddySlope,"5"
WindDisableW,"0"
WindDynCor,"0"
WindDynCorWL,"60"
WindEquilTime,"10"
WindErrorHigh,"1.5"
WindErrorLow,"1"
WindOutlier,"10"
WindQCDev,"3"
WindQCWL,"10"
WindSats,"4"
WindSmoothWL,"40"
WindVVPresWL,"5"
WindVVdelta,"2.5"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,Altitude,GPS Altitude,Dewpoint,Uwnd,Vwnd,Ascent
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,m,deg C,m/s,m/s,m/s
Data,0.0,846.41,28.86,50.80,0.03,310.62,40.59046,-105.14178,1571.9,1555.0,17.87,0.02,-0.02,1.58
Data,1.0,,28.88,50.94,1.99,338.12,40.59046,-105.14178,,1554.5,17.94,0.74,-1.84,
Data,2.0,846.25,28.89,50.76,2.17,336.81,40.59046,-105.14178,1573.6,1554.5,17.89,0.85,-1.99,2.31
Data,3.0,845.98,28.88,50.24,2.34,335.71,40.59047,-105.14178,1576.4,1556.8,17.72,0.96,-2.13,3.05
Data,4.0,845.63,28.85,49.45,2.49,334.72,40.59046,-105.14179,1580.1,1559.2,17.44,1.06,-2.25,3.75
Data,5.0,845.21,28.80,48.64,2.62,333.72,40.59046,-105.14181,1584.5,1564.0,17.14,1.16,-2.35,4.30
Data,6.0,844.76,28.73,48.12,2.70,332.56,40.59052,-105.14182,1589.3,1568.8,16.91,1.24,-2.40,4.56
Data,8.0,843.89,28.55,47.88,2.70,329.10,40.59066,-105.14183,1598.5,1590.4,16.67,1.39,-2.32,4.34
Data,9.0,843.50,28.45,47.98,2.61,326.33,40.59071,-105.14187,1602.6,1604.2,16.60,1.45,-2.17,4.00
Data,10.0,843.15,28.35,48.14,2.46,322.48,40.59070,-105.14190,1606.3,1610.0,16.56,1.50,-1.95,3.67
Data,11.0,842.83,28.24,48.37,2.27,317.13,40.59069,-105.14188,1609.6,1613.4,16.53,1.54,-1.66,3.40
Data,12.0,842.53,28.13,48.62,2.05,309.64,40.59073,-105.14186,1612.8,1615.4,16.51,1.58,-1.31,3.30
Data,13.0,842.23,28.01,48.87,1.82,299.21,40.59075,-105.14188,1616.0,1616.4,16.48,1.59,-0.89,3.35
Data,14.0,841.90,27.89,49.12,1.64,285.06,40.59077,-105.14195,1619.5,1618.8,16.45,1.58,-0.43,3.46
Data,15.0,841.55,27.78,49.39,1.56,267.63,40.59076,-105.14200,1623.2,1623.1,16.43,1.56,0.06,3.63
Data,16.0,841.19,27.66,49.69,1.61,249.73,40.59071,-105.14204,1627.0,1625.7,16.42,1.51,0.56,3.80
Data,17.0,840.83,27.55,50.02,1.78,234.65,40.59067,-105.14204,1630.7,1628.4,16.41,1.46,1.03,3.98
Data,18.0,840.46,27.43,50.40,2.03,223.58,40.59060,-105.14203,1634.7,1619.1,16.43,1.40,1.47,4.16
Data,19.0,840.06,27.32,50.80,2.30,216.14,40.59054,-105.14203,1639.0,1608.0,16.44,1.36,1.86,4.34
Data,20.0,839.62,27.21,51.16,2.56,211.49,40.59051,-105.14200,1643.6,1602.7,16.45,1.34,2.19,4.40
Data,21.0,839.19,27.10,51.46,,,40.59039,-105.14191,1648.1,1596.4,16.44,,,4.37
Data,22.0,838.78,27.00,51.72,2.99,207.99,40.59036,-105.14190,1652.4,1601.7,16.42,1.40,2.64,4.30
Data,23.0,838.40,26.90,51.93,3.15,208.39,40.59035,-105.14194,1656.5,1605.2,16.39,1.50,2.77,4.21
Data,24.0,838.02,26.81,52.14,3.26,209.91,40.59034,-105.14202,1660.4,1607.8,16.37,1.62,2.82,4.18
Data,25.0,837.63,26.71,52.43,,,40.59035,-105.14214,1664.6,1610.9,16.37,,,4.18
Data,26.0,837.21,26.62,52.73,3.37,215.80,40.59035,-105.14221,1669.0,1610.0,16.37,1.97,2.74,4.10
Data,27.0,836.81,26.53,52.94,3.40,219.84,40.59032,-105.14222,1673.2,1611.0,16.34,2.18,2.61,3.94
Data,28.0,836.44,26.44,53.06,3.40,224.47,40.59031,-105.14222,1677.1,1608.5,16.30,2.38,2.43,3.75
Data,29.0,836.11,26.36,53.10,3.40,229.61,40.59033,-105.14225,1680.7,1611.8,16.24,2.59,2.20,3.56
Data,30.0,835.79,26.28,53.13,3.39,235.22,40.59035,-105.14229,1684.0,1613.2,16.17,2.78,1.93,3.48
Data,31.0,835.48,26.21,53.20,3.37,241.22,40.59034,-105.14235,1687.4,1614.2,16.12,2.96,1.62,3.54
Data,32.0,835.14,26.14,53.32,3.36,247.56,40.59031,-105.14240,1691.0,1617.3,16.09,3.11,1.28,3.68
Data,33.0,834.77,26.06,53.46,3.35,254.15,40.59028,-105.14245,1694.8,1621.9,16.06,3.22,0.91,3.88
Data,34.0,834.39,25.98,53.59,3.34,260.87,40.59027,-105.14248,1698.9,1627.2,16.03,3.30,0.53,4.09
Data,35.0,833.99,25.91,53.75,3.35,267.52,40.59029,-105.14248,1703.1,1631.9,16.00,3.35,0.15,4.30
Data,36.0,833.58,25.83,53.99,,,40.59030,-105.14246,1707.4,1637.2,16.00,,,4.49
Data,37.0,833.15,25.76,54.27,3.40,279.74,40.59036,-105.14250,1712.0,1646.5,16.01,3.35,-0.58,4.66
Data,38.0,832.70,25.68,54.57,,,40.59051,-105.14264,1716.8,1662.0,16.02,,,4.79
Data,39.0,832.23,25.61,54.86,,,40.59062,-105.14273,1721.7,1686.9,16.04,,,4.85
Data,40.0,831.77,25.54,55.05,3.35,293.47,40.59067,-105.14280,1726.6,1698.3,16.02,3.07,-1.33,4.87
Data,41.0,831.31,25.47,55.11,3.26,296.88,40.59072,-105.14283,1731.5,1710.5,15.98,2.91,-1.48,4.86
Data,42.0,830.87,25.40,55.15,,,40.59072,-105.14283,1736.2,1719.4,15.92,,,4.88
Data,43.0,830.41,25.34,55.24,2.97,302.45,40.59070,-105.14282,1741.0,1724.3,15.89,2.51,-1.60,4.95
Data,44.0,829.94,25.27,55.35,2.78,304.71,40.59070,-105.14280,1746.0,1731.0,15.86,2.29,-1.58,5.04
Data,45.0,829.46,25.21,55.37,2.56,306.67,40.59070,-105.14279,1751.1,1734.2,15.80,2.06,-1.53,5.11
Data,46.0,828.97,25.15,55.29,2.32,308.30,40.59070,-105.14276,1756.3,1738.5,15.72,1.82,-1.44,5.13
Data,47.0,828.48,25.09,55.20,2.06,309.58,40.59071,-105.14276,1761.5,1743.4,15.65,1.59,-1.31,5.09
Data,48.0,828.00,25.04,55.17,1.78,310.43,40.59071,-105.14274,1766.6,1748.5,15.58,1.36,-1.16,5.00
Data,49.0,827.54,24.98,55.12,1.49,310.69,40.59070,-105.14273,1771.5,1753.8,15.52,1.13,-0.97,4.89
Data,50.0,827.08,24.93,55.08,1.18,309.97,40.59067,-105.14272,1776.3,1756.0,15.46,0.91,-0.76,4.78
Data,51.0,826.64,24.88,55.34,0.87,307.33,40.59064,-105.14269,1781.1,1759.4,15.49,0.69,-0.53,4.71
Data,52.0,826.20,24.83,55.86,0.56,299.75,40.59064,-105.14265,1785.7,1765.2,15.59,0.49,-0.28,4.70
Data,53.0,825.76,24.78,56.35,0.31,274.32,40.59063,-105.14260,1790.4,1769.4,15.67,0.30,-0.02,4.77
Data,54.0,825.32,24.73,56.68,0.27,211.83,40.59062,-105.14256,1795.1,1773.7,15.71,0.14,0.23,4.90
Data,55.0,824.86,24.67,56.89,0.48,181.51,40.59060,-105.14254,1800.1,1776.8,15.71,0.01,0.48,5.08
Data,56.0,824.37,24.61,56.90,0.71,172.51,40.59056,-105.14258,1805.3,1769.0,15.66,-0.09,0.70,5.26
Data,57.0,823.86,24.55,56.69,,,40.59048,-105.14262,1810.7,1758.9,15.55,,,5.38
Data,58.0,823.34,24.49,56.42,1.07,167.60,40.59046,-105.14261,1816.2,1764.2,15.42,-0.23,1.05,5.41
Data,59.0,822.83,24.44,56.32,1.19,166.65,40.59047,-105.14257,1821.7,1774.4,15.34,-0.28,1.16,5.34
Data,60.0,822.33,24.39,56.54,1.27,165.77,40.59044,-105.14254,1827.0,1778.5,15.35,-0.31,1.23,5.21
Data,61.0,821.86,24.34,56.95,1.30,164.71,40.59042,-105.14254,1832.0,1781.5,15.42,-0.34,1.26,5.08
Data,62.0,821.40,24.30,57.21,1.29,163.26,40.59041,-105.14253,1837.0,1786.5,15.45,-0.37,1.24,4.97
Data,63.0,820.94,24.25,57.20,1.23,161.29,40.59043,-105.14250,1841.9,1792.4,15.40,-0.40,1.17,4.88
Data,64.0,820.49,24.21,57.22,1.13,158.63,40.59045,-105.14246,1846.7,1799.4,15.37,-0.41,1.06,4.81
Data,65.0,820.05,24.17,57.39,1.00,154.98,40.59045,-105.14243,1851.4,1805.6,15.38,-0.42,0.90,4.74
Data,66.0,819.60,24.13,57.09,0.83,149.70,40.59046,-105.14240,1856.2,1810.6,15.26,-0.42,0.72,4.64
Data,67.0,819.17,24.10,56.22,0.65,141.41,40.59047,-105.14237,1860.8,1817.1,15.00,-0.41,0.51,4.47
Data,68.0,818.76,24.08,55.16,0.48,126.52,40.59049,-105.14235,1865.2,1823.8,14.68,-0.38,0.28,4.25
Data,69.0,818.37,24.06,54.15,0.35,97.52,40.59050,-105.14233,1869.3,1827.4,14.38,-0.35,0.05,4.01
Data,70.0,818.01,24.05,52.97,0.37,59.07,40.59050,-105.14235,1873.2,1828.9,14.03,-0.32,-0.19,3.75
Data,71.0,817.67,24.04,51.37,0.52,34.52,40.59051,-105.14236,1876.9,1837.2,13.56,-0.30,-0.43,3.51
Data,72.0,817.36,24.04,49.79,0.72,22.71,40.59053,-105.14236,1880.2,1845.6,13.09,-0.28,-0.66,3.29
Data,73.0,817.06,24.05,48.51,0.93,16.82,40.59054,-105.14235,1883.4,1849.8,12.70,-0.27,-0.89,3.14
Data,74.0,816.78,24.06,47.51,1.14,13.54,40.59055,-105.14233,1886.4,1853.3,12.40,-0.27,-1.11,3.04
Data,75.0,816.50,24.08,46.71,1.34,11.42,40.59058,-105.14230,1889.4,1857.9,12.17,-0.27,-1.31,3.00
Data,76.0,816.22,24.11,46.01,1.52,9.83,40.59059,-105.14226,1892.4,1859.9,11.96,-0.26,-1.50,3.00
Data,77.0,815.94,24.13,45.33,1.70,8.52,40.59059,-105.14224,1895.5,1864.2,11.76,-0.25,-1.68,3.01
Data,78.0,815.65,24.15,44.74,1.86,7.35,40.59060,-105.14223,1898.5,1868.0,11.59,-0.24,-1.84,3.00
Data,79.0,815.37,24.18,44.30,2.01,6.30,40.59060,-105.14224,1901.5,1872.4,11.46,-0.22,-2.00,2.98
Data,80.0,815.10,24.20,43.95,2.15,5.39,40.59062,-105.14226,1904.5,1877.4,11.37,-0.20,-2.14,2.94
Data,81.0,814.82,24.23,43.64,,,40.59067,-105.14226,1907.4,1888.8,11.28,,,2.92
Data,82.0,814.56,24.25,43.36,2.38,3.95,40.59070,-105.14226,1910.3,1892.9,11.21,-0.16,-2.37,2.90
Data,83.0,814.29,24.28,43.11,2.46,3.32,40.59072,-105.14225,1913.2,1896.7,11.15,-0.14,-2.46,2.91
Data,84.0,814.02,24.30,42.93,2.53,2.72,40.59073,-105.14224,1916.1,1899.8,11.10,-0.12,-2.52,2.93
Data,85.0,813.74,24.33,42.82,2.56,2.12,40.59076,-105.14223,1919.0,1903.4,11.09,-0.09,-2.56,2.98
Data,86.0,813.47,24.35,42.74,2.57,1.54,40.59078,-105.14224,1922.0,1905.0,11.08,-0.07,-2.57,3.03
Data,87.0,813.18,24.37,42.62,2.55,0.97,40.59082,-105.14224,1925.1,1908.6,11.06,-0.04,-2.55,3.07
Data,88.0,812.89,24.39,42.50,2.50,0.45,40.59085,-105.14225,1928.2,1913.2,11.04,-0.02,-2.50,3.09
Data,89.0,812.60,24.41,42.40,2.43,359.99,40.59087,-105.14225,1931.3,1916.1,11.02,0.00,-2.43,3.09
Data,90.0,812.32,24.43,42.32,2.33,359.60,40.59088,-105.14225,1934.4,1918.1,11.01,0.02,-2.33,3.05
Data,91.0,812.04,24.45,42.24,2.22,359.29,40.59090,-105.14225,1937.4,1920.3,11.00,0.03,-2.22,2.99
Data,92.0,811.76,24.47,42.13,2.10,359.08,40.59092,-105.14224,1940.4,1922.9,10.98,0.03,-2.10,2.91
Data,93.0,811.49,24.49,42.00,1.97,358.99,40.59092,-105.14222,1943.3,1924.8,10.95,0.03,-1.97,2.84
Data,94.0,811.24,24.51,41.90,1.85,359.08,40.59092,-105.14223,1946.1,1926.4,10.93,0.03,-1.85,2.80
Data,95.0,810.99,24.53,41.83,1.72,359.43,40.59092,-105.14223,1948.8,1929.3,10.92,0.02,-1.72,2.79
Data,96.0,810.73,24.55,41.77,1.60,0.13,40.59093,-105.14223,1951.6,1932.5,10.92,-0.00,-1.60,2.82
Data,97.0,810.46,24.56,41.70,1.48,1.31,40.59093,-105.14224,1954.5,1935.1,10.91,-0.03,-1.48,2.88
Data,98.0,810.19,24.57,41.60,1.37,3.11,40.59094,-105.14225,1957.4,1937.4,10.89,-0.07,-1.37,2.94
Data,99.0,809.91,24.59,41.53,1.27,5.66,40.59094,-105.14224,1960.4,1938.9,10.87,-0.13,-1.27,3.01
Data,100.0,809.64,24.60,41.47,1.18,9.09,40.59096,-105.14224,1963.4,1941.2,10.86,-0.19,-1.17,3.10
Data,101.0,809.35,24.61,41.42,1.11,13.45,40.59097,-105.14224,1966.5,1943.7,10.85,-0.26,-1.08,3.19
Data,102.0,809.05,24.61,41.37,1.05,18.69,40.59098,-105.14225,1969.8,1946.8,10.84,-0.34,-0.99,3.29
Data,103.0,808.74,24.62,41.33,1.00,24.52,40.59099,-105.14225,1973.1,1949.3,10.83,-0.42,-0.91,3.38
Data,104.0,808.43,24.62,41.30,0.98,30.40,40.59099,-105.14225,1976.5,1951.8,10.82,-0.50,-0.85,3.46
Data,105.0,808.10,24.62,41.27,0.98,35.68,40.59099,-105.14223,1980.0,1955.3,10.81,-0.57,-0.79,3.50
Data,106.0,807.77,24.63,41.23,0.99,39.73,40.59100,-105.14221,1983.6,1959.6,10.80,-0.63,-0.76,3.48
Data,107.0,807.45,24.63,41.20,1.01,42.04,40.59099,-105.14221,1987.1,1958.9,10.79,-0.67,-0.75,3.43
Data,108.0,807.14,24.63,41.20,1.03,42.32,40.59098,-105.14222,1990.5,1958.1,10.79,-0.69,-0.76,3.38
Data,109.0,806.83,24.63,41.17,1.06,40.51,40.59095,-105.14224,1993.8,1949.5,10.79,-0.69,-0.81,3.36
Data,110.0,806.53,24.64,41.13,1.10,36.65,40.59098,-105.14223,1997.1,1962.5,10.77,-0.65,-0.88,3.42
Data,111.0,806.21,24.64,41.10,,,40.59105,-105.14223,2000.5,1978.4,10.77,,,3.55
Data,112.0,805.88,24.65,41.07,1.21,25.15,40.59109,-105.14224,2004.1,1981.6,10.76,-0.52,-1.10,3.71
Data,113.0,805.53,24.65,41.03,1.30,18.98,40.59106,-105.14225,2007.9,1966.2,10.75,-0.42,-1.22,3.88
Data,114.0,805.17,24.66,40.98,1.39,13.15,40.59106,-105.14224,2011.9,1969.3,10.74,-0.32,-1.36,4.01
Data,115.0,804.79,24.66,40.92,1.51,7.89,40.59107,-105.14224,2016.0,1972.3,10.72,-0.21,-1.49,4.07
Data,116.0,804.41,24.67,40.87,1.63,3.30,40.59108,-105.14223,2020.2,1975.4,10.70,-0.09,-1.63,4.04
Data,117.0,804.04,24.67,40.82,1.76,359.34,40.59110,-105.14222,2024.2,1983.2,10.69,0.02,-1.76,3.94
Data,118.0,803.68,24.67,40.80,1.89,355.96,40.59112,-105.14221,2028.1,1986.8,10.69,0.13,-1.88,3.81
Data,119.0,803.35,24.68,40.80,2.01,353.06,40.59114,-105.14222,2031.8,1992.3,10.69,0.24,-2.00,3.69
Data,120.0,803.02,24.70,40.80,2.12,350.55,40.59118,-105.14225,2035.4,1999.5,10.71,0.35,-2.10,3.61
Data,121.0,802.70,24.71,40.80,2.22,348.33,40.59121,-105.14228,2038.9,2001.8,10.72,0.45,-2.18,3.60
Data,122.0,802.37,24.72,40.78,2.30,346.30,40.59123,-105.14230,2042.4,2005.0,10.72,0.55,-2.24,3.62
Data,123.0,802.04,24.74,40.73,2.37,344.36,40.59125,-105.14231,2046.1,2009.9,10.72,0.64,-2.28,3.67
Data,124.0,801.69,24.75,40.68,2.42,342.42,40.59126,-105.14232,2049.8,2013.4,10.71,0.73,-2.31,3.67
Data,125.0,801.35,24.76,40.62,2.46,340.38,40.59128,-105.14232,2053.6,2018.2,10.70,0.82,-2.31,3.61
Data,126.0,801.02,24.76,40.58,2.47,338.14,40.59130,-105.14232,2057.3,2023.7,10.69,0.92,-2.30,3.50
Data,127.0,800.70,24.77,40.52,2.48,335.63,40.59134,-105.14231,2060.7,2026.8,10.67,1.02,-2.25,3.35
Data,128.0,800.41,24.78,40.47,2.46,332.79,40.59137,-105.14231,2063.9,2031.3,10.66,1.12,-2.18,3.25
Data,129.0,800.12,24.79,40.42,2.42,329.54,40.59141,-105.14235,2067.1,2034.7,10.66,1.23,-2.08,3.23
Data,130.0,799.83,24.81,40.40,2.36,325.87,40.59144,-105.14238,2070.2,2037.1,10.66,1.33,-1.96,3.33
Data,131.0,799.53,24.82,40.40,2.30,321.80,40.59146,-105.14242,2073.6,2039.5,10.67,1.42,-1.81,3.55
Data,132.0,799.20,24.83,40.40,2.23,317.37,40.59148,-105.14244,2077.2,2041.8,10.68,1.51,-1.64,3.81
Data,133.0,798.83,24.83,40.40,2.16,312.63,40.59148,-105.14247,2081.2,2045.0,10.69,1.59,-1.46,4.09
Data,134.0,798.44,24.83,40.39,2.10,307.75,40.59148,-105.14248,2085.5,2049.2,10.68,1.66,-1.28,4.29
Data,135.0,798.04,24.82,40.37,2.05,302.90,40.59149,-105.14250,2090.0,2054.1,10.66,1.72,-1.11,4.39
Data,136.0,797.63,24.81,40.35,2.01,298.27,40.59149,-105.14252,2094.5,2055.1,10.64,1.77,-0.95,4.39
Data,137.0,797.23,24.79,40.37,1.98,294.06,40.59151,-105.14254,2098.8,2058.9,10.63,1.81,-0.81,4.30
Data,138.0,796.85,24.77,40.45,1.96,290.51,40.59151,-105.14257,2103.0,2064.6,10.65,1.83,-0.69,4.18
Data,139.0,796.49,24.76,40.57,1.93,287.82,40.59151,-105.14259,2107.0,2070.3,10.68,1.84,-0.59,4.05
Data,140.0,796.13,24.75,40.70,1.90,286.18,40.59152,-105.14261,2111.0,2074.8,10.72,1.83,-0.53,3.93
Data,141.0,795.77,24.75,40.81,1.87,285.78,40.59151,-105.14265,2114.9,2081.4,10.75,1.80,-0.51,3.79
Data,142.0,795.43,24.75,40.88,1.82,286.83,40.59152,-105.14269,2118.7,2087.2,10.78,1.74,-0.53,3.66
Data,143.0,795.11,24.75,40.91,1.77,289.51,40.59152,-105.14272,2122.2,2093.1,10.79,1.67,-0.59,3.54
Data,144.0,794.79,24.75,40.91,1.73,293.96,40.59149,-105.14275,2125.7,2089.2,10.79,1.58,-0.70,3.44
Data,145.0,794.49,24.75,40.90,,,40.59134,-105.14277,2129.1,2060.9,10.79,,,3.38
Data,146.0,794.18,24.75,40.87,1.74,307.77,40.59128,-105.14278,2132.4,2061.7,10.79,1.38,-1.07,3.36
Data,147.0,793.88,24.76,40.83,1.83,315.89,40.59128,-105.14277,2135.8,2063.4,10.77,1.27,-1.31,3.35
Data,149.0,793.27,24.77,40.80,2.18,330.25,40.59130,-105.14275,2142.5,2066.1,10.77,1.08,-1.89,3.36
Data,150.0,792.97,24.77,40.80,2.42,335.53,40.59137,-105.14275,2145.9,2093.2,10.77,1.00,-2.20,3.35
Data,151.0,792.66,24.77,40.80,,,40.59153,-105.14278,2149.3,2133.9,10.77,,,3.34
Data,152.0,792.36,24.77,40.80,,,40.59164,-105.14284,2152.6,2171.2,10.77,,,3.32
Data,153.0,792.06,24.77,40.80,,,40.59175,-105.14289,2155.9,2212.3,10.77,,,3.33
Data,154.0,791.76,24.77,40.80,3.34,346.57,40.59184,-105.14290,2159.2,2238.7,10.77,0.77,-3.25,3.36
Data,155.0,791.46,24.77,40.80,3.48,347.83,40.59189,-105.14291,2162.6,2262.9,10.77,0.73,-3.40,3.42
Data,156.0,791.15,24.77,40.80,3.57,348.76,40.59193,-105.14292,2166.0,2275.6,10.77,0.70,-3.50,3.49
Data,157.0,790.83,24.76,40.80,3.61,349.44,40.59193,-105.14292,2169.6,2274.2,10.77,0.66,-3.54,3.55
Data,158.0,790.51,24.75,40.80,3.60,349.91,40.59194,-105.14292,2173.1,2277.6,10.76,0.63,-3.54,3.61
Data,159.0,790.18,24.74,40.80,3.55,350.20,40.59192,-105.14293,2176.8,2272.2,10.75,0.60,-3.50,3.66
Data,160.0,789.85,24.72,40.80,3.47,350.32,40.59192,-105.14295,2180.5,2269.9,10.73,0.58,-3.42,3.69
Data,161.0,789.51,24.71,40.80,3.37,350.27,40.59191,-105.14298,2184.2,2268.7,10.72,0.57,-3.32,3.66
Data,162.0,789.18,24.69,40.83,3.24,350.04,40.59190,-105.14303,2187.9,2269.5,10.72,0.56,-3.19,3.60
Data,163.0,788.86,24.68,40.87,3.10,349.62,40.59189,-105.14308,2191.5,2269.9,10.72,0.56,-3.05,3.50
Data,164.0,788.55,24.67,40.90,2.94,348.98,40.59188,-105.14311,2194.9,2271.5,10.72,0.56,-2.89,3.40
Data,165.0,788.25,24.66,40.90,2.78,348.11,40.59189,-105.14313,2198.2,2278.6,10.71,0.57,-2.72,3.34
Data,166.0,787.96,24.65,40.90,2.62,346.96,40.59187,-105.14316,2201.5,2275.0,10.70,0.59,-2.56,3.32
Data,167.0,787.66,24.63,40.90,2.47,345.53,40.59185,-105.14318,2204.8,2274.4,10.68,0.62,-2.40,3.35
Data,168.0,787.36,24.61,40.90,2.34,343.81,40.59183,-105.14319,2208.2,2270.5,10.67,0.65,-2.24,3.43
Data,169.0,787.04,24.60,40.90,2.22,341.83,40.59180,-105.14319,2211.7,2268.9,10.65,0.69,-2.11,3.54
Data,170.0,786.72,24.58,40.93,2.12,339.64,40.59180,-105.14319,2215.3,2269.0,10.64,0.74,-1.99,3.66
Data,171.0,786.39,24.56,40.97,2.04,337.34,40.59180,-105.14320,2219.0,2273.0,10.64,0.78,-1.88,3.80
Data,172.0,786.04,24.53,41.00,,,40.59189,-105.14323,2222.8,2306.4,10.63,,,3.93
Data,173.0,785.68,24.51,41.03,1.91,332.81,40.59193,-105.14321,2226.8,2322.9,10.62,0.87,-1.70,4.03
Data,174.0,785.31,24.48,41.07,1.86,330.80,40.59193,-105.14321,2231.0,2320.6,10.61,0.91,-1.62,4.08
Data,175.0,784.94,24.45,41.13,1.80,329.04,40.59192,-105.14323,2235.1,2324.7,10.60,0.93,-1.55,4.07
Data,176.0,784.58,24.43,41.20,1.75,327.57,40.59191,-105.14326,2239.2,2324.9,10.61,0.94,-1.48,4.01
Data,177.0,784.23,24.40,41.27,1.70,326.44,40.59191,-105.14330,2243.1,2325.9,10.61,0.94,-1.42,3.95
Data,178.0,783.88,24.37,41.30,1.65,325.66,40.59190,-105.14333,2247.0,2326.8,10.60,0.93,-1.36,3.90
Data,179.0,783.54,24.34,41.33,1.61,325.24,40.59188,-105.14335,2250.8,2326.8,10.58,0.92,-1.32,3.86
Data,180.0,783.19,24.32,41.38,1.57,325.20,40.59187,-105.14335,2254.7,2324.2,10.57,0.90,-1.29,3.84
Data,181.0,782.85,24.30,41.43,1.55,325.52,40.59186,-105.14335,2258.5,2321.0,10.57,0.88,-1.27,3.83
Data,182.0,782.50,24.28,41.48,1.54,326.19,40.59184,-105.14335,2262.4,2317.3,10.58,0.86,-1.28,3.83
Data,183.0,782.16,24.27,41.50,1.54,327.14,40.59183,-105.14335,2266.2,2315.0,10.57,0.84,-1.30,3.82
Data,184.0,781.82,24.26,41.50,1.57,328.31,40.59182,-105.14335,2270.0,2314.1,10.56,0.82,-1.34,3.83
Data,185.0,781.48,24.24,41.50,1.61,329.60,40.59181,-105.14335,2273.8,2314.2,10.54,0.81,-1.39,3.82
Data,186.0,781.14,24.22,41.53,1.66,330.94,40.59182,-105.14335,2277.7,2317.7,10.53,0.81,-1.45,3.80
Data,187.0,780.80,24.20,41.57,1.73,332.26,40.59184,-105.14336,2281.5,2320.0,10.53,0.80,-1.53,3.77
Data,188.0,780.47,24.18,41.60,1.80,333.54,40.59184,-105.14337,2285.2,2321.4,10.52,0.80,-1.61,3.73
Data,189.0,780.13,24.16,41.60,1.87,334.83,40.59184,-105.14339,2288.9,2323.1,10.51,0.80,-1.69,3.69
Data,190.0,779.81,24.13,41.63,1.95,336.17,40.59181,-105.14342,2292.6,2318.0,10.49,0.79,-1.78,3.67
Data,191.0,779.49,24.11,41.67,,,40.59179,-105.14343,2296.2,2318.6,10.49,,,3.67
Data,192.0,779.16,24.09,41.70,,,40.59184,-105.14344,2299.8,2335.1,10.47,,,3.68
Data,193.0,778.83,24.06,41.72,2.15,340.18,40.59189,-105.14345,2303.6,2353.5,10.46,0.73,-2.02,3.69
Data,195.0,778.16,24.02,41.81,2.23,342.43,40.59193,-105.14345,2311.1,2379.7,10.46,0.67,-2.12,3.65
