FileFormat,CSV
Year,2021
Month,07
Day,21
Hour,17
Minute,54
Second,10
Ascending,"true"
latitude,40.590000,"units=deg"
longitude,-105.141500,"units=deg"
altitude,1571.9,"units=m"
gpsaltitude,1571.9,"units=m"
project,"PRE-CIP-2021"
agency,"CSU"
sondeid,"2970"
sondetype,"Storm Tracker"
launchsite,"Christman Field"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,altitude,sats,gpsalt,SNR,Voltage
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,,m,,V
Data,   0.0, 846.41,28.86,50.80,  0.03,310.62, 40.59046,-105.14178,,8.000000, 1555.0,10.000000,1.540
Data,   1.0, 846.40,28.87,51.00,  0.06,310.62, 40.59046,-105.14178,,8.000000, 1554.5,10.000000,1.540
Data,   2.0, 846.37,28.89,50.80,  0.08,310.62, 40.59046,-105.14178,,8.000000, 1554.5,9.000000,1.540
Data,   3.0, 846.15,28.90,50.30,  1.29,315.32, 40.59047,-105.14178,,9.000000, 1556.8,9.000000,1.540
Data,   4.0, 845.56,28.87,49.50,  3.26,267.42, 40.59046,-105.14179,,9.000000, 1559.2,9.000000,1.542
Data,   5.0, 845.31,28.80,48.50,  2.73,307.89, 40.59046,-105.14181,,7.000000, 1564.0,9.000000,1.531
Data,   6.0, 844.63,28.72,48.10,  7.41,355.22, 40.59052,-105.14182,,9.000000, 1568.8,10.000000,1.538
Data,   8.0, 843.95,28.55,47.90,  5.92,  1.05, 40.59066,-105.14183,,9.000000, 1590.4,10.000000,1.542
Data,   9.0, 843.34,28.45,48.00,  5.89,341.99, 40.59071,-105.14187,,8.000000, 1604.2,9.000000,1.540
Data,  10.0, 843.12,28.34,48.10,  2.25,341.99, 40.59070,-105.14190,,7.000000, 1610.0,9.000000,1.542
Data,  11.0, 842.89,28.24,48.40,  3.38,341.99, 40.59069,-105.14188,,9.000000, 1613.4,8.000000,1.542
Data,  12.0, 842.50,28.13,48.60,  6.25,354.11, 40.59073,-105.14186,,9.000000, 1615.4,9.000000,1.542
Data,  13.0, 842.30,28.01,48.90,  4.56,320.52, 40.59075,-105.14188,,9.000000, 1616.4,10.000000,1.544
Data,  14.0, 841.95,27.89,49.10,  5.80,301.54, 40.59077,-105.14195,,7.000000, 1618.8,9.000000,1.544
Data,  15.0, 841.52,27.77,49.40,  5.16,275.39, 40.59076,-105.14200,,8.000000, 1623.1,9.000000,1.542
