FileFormat,CSV
Year,2021
Month,07
Day,20
Hour,18
Minute,25
Second,46
Ascending,"true"
latitude,40.590000,"units=deg"
longitude,-105.141500,"units=deg"
altitude,1571.9,"units=m"
gpsaltitude,1571.9,"units=m"
project,"PRE-CIP-2021"
agency,"CSU"
sondeid,"2972"
sondetype,"Storm Tracker"
launchsite,"Christman Field"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,altitude,sats,gpsalt,SNR,Voltage
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,,m,,V
Data,   0.0, 846.81,33.60,29.70,  0.15,218.31, 40.58971,-105.14185,,7.000000, 1551.6,9.000000,1.581
Data,   1.0, 846.83,33.62,30.00,  0.19,218.31, 40.58971,-105.14185,,7.000000, 1551.8,12.000000,1.581
Data,   2.0, 846.75,33.64,30.40,  0.23,218.31, 40.58970,-105.14185,,7.000000, 1551.8,9.000000,1.578
Data,   3.0, 846.29,33.65,30.30,  2.43,240.40, 40.58970,-105.14187,,7.000000, 1554.0,9.000000,1.581
Data,   4.0, 845.73,33.60,30.00,  2.16,270.65, 40.58971,-105.14189,,7.000000, 1559.4,9.000000,1.572
Data,   5.0, 845.16,33.54,29.70,  5.24,294.99, 40.58973,-105.14193,,7.000000, 1567.1,9.000000,1.581
Data,   6.0, 844.68,33.48,29.40,  6.35,287.76, 40.58975,-105.14200,,7.000000, 1572.8,9.000000,1.581
Data,   7.0, 844.28,33.40,29.40,  6.39,287.29, 40.58976,-105.14207,,7.000000, 1579.0,9.000000,1.581
Data,   8.0, 843.77,33.30,29.40,  5.98,305.27, 40.58979,-105.14213,,7.000000, 1585.4,12.000000,1.581
Data,   9.0, 843.40,33.23,29.70,  7.76,315.41, 40.58984,-105.14219,,7.000000, 1590.7,10.000000,1.578
Data,  10.0, 843.04,33.13,29.90,  7.61,308.73, 40.58988,-105.14225,,7.000000, 1597.7,9.000000,1.583
Data,  11.0, 842.56,33.04,29.90,  5.43,260.35, 40.58989,-105.14232,,7.000000, 1603.2,9.000000,1.574
Data,  12.0, 842.26,32.93,30.20,  5.09,255.17, 40.58988,-105.14238,,7.000000, 1608.7,10.000000,1.583
Data,  13.0, 841.88,32.84,30.40,  4.19,250.39, 40.58986,-105.14242,,7.000000, 1615.2,12.000000,1.583
Data,  14.0, 841.63,32.75,30.60,  5.34,277.11, 40.58985,-105.14247,,7.000000, 1620.4,9.000000,1.583
Data,  15.0, 841.25,32.67,30.70,  7.09,278.96, 40.58986,-105.14254,,7.000000, 1625.5,10.000000,1.583
Data,  16.0, 840.75,32.59,30.80,  5.78,277.91, 40.58986,-105.14261,,7.000000, 1631.1,10.000000,1.581
Data,  17.0, 840.36,32.48,30.90,  1.83,277.91, 40.58986,-105.14265,,7.000000, 1635.8,9.000000,1.583
Data,  18.0, 839.76,32.33,30.90,  2.96,267.95, 40.58983,-105.14266,,7.000000, 1639.6,9.000000,1.583
Data,  19.0, 839.39,32.20,30.90,  7.37,270.20, 40.58983,-105.14273,,7.000000, 1644.5,9.000000,1.583
Data,  20.0, 838.93,32.07,31.00,  9.61,293.26, 40.58985,-105.14283,,7.000000, 1649.0,9.000000,1.583
Data,  21.0, 838.54,31.92,31.20, 11.96,314.46, 40.58991,-105.14292,,7.000000, 1654.5,10.000000,1.583
Data,  22.0, 838.19,31.80,31.40,  7.20,317.52, 40.58997,-105.14300,,7.000000, 1660.8,9.000000,1.583
Data,  22.0, 837.89,31.68,31.60,  4.12,314.35, 40.58999,-105.14304,,7.000000, 1667.2,9.000000,1.583
Data,  24.0, 837.47,31.57,31.80,  6.37,246.78, 40.58997,-105.14310,,7.000000, 1668.5,9.000000,1.583
Data,  25.0, 837.20,31.46,32.10,  6.94,250.30, 40.58994,-105.14317,,7.000000, 1671.8,9.000000,1.583
Data,  26.0, 836.88,31.34,32.00,  7.22,260.38, 40.58993,-105.14325,,7.000000, 1677.1,9.000000,1.583
Data,  27.0, 836.59,31.28,32.10,  6.75,269.33, 40.58992,-105.14333,,7.000000, 1680.9,9.000000,1.576
Data,  27.0, 836.15,31.18,32.20,  8.15,284.59, 40.58993,-105.14342,,7.000000, 1684.1,9.000000,1.583
Data,  29.0, 835.78,31.11,32.40,  7.24,270.70, 40.58994,-105.14351,,7.000000, 1687.0,10.000000,1.583
Data,  29.0, 835.35,31.01,32.50,  6.51,268.48, 40.58994,-105.14358,,7.000000, 1691.3,9.000000,1.583
Data,  31.0, 835.24,30.91,32.30,  3.24,267.38, 40.58993,-105.14363,,7.000000, 1695.0,9.000000,1.583
Data,  31.0, 835.00,30.84,32.40,  2.78,272.85, 40.58993,-105.14366,,7.000000, 1699.3,9.000000,1.581
Data,  32.0, 834.65,30.76,32.50,  3.51,230.07, 40.58991,-105.14368,,7.000000, 1702.0,10.000000,1.583
Data,  33.0, 834.52,30.64,32.60,  1.20,230.07, 40.58989,-105.14368,,7.000000, 1705.7,9.000000,1.583
Data,  34.0, 834.07,30.58,32.70,  2.43,296.26, 40.58991,-105.14368,,7.000000, 1711.2,9.000000,1.583
Data,  35.0, 833.60,30.46,33.00,  6.06,342.38, 40.58994,-105.14370,,7.000000, 1715.6,9.000000,1.583
Data,  37.0, 833.31,30.35,33.20,  9.09,320.80, 40.59000,-105.14375,,7.000000, 1718.9,9.000000,1.581
Data,  37.0, 833.00,30.28,33.30, 11.65,307.86, 40.59007,-105.14384,,7.000000, 1724.4,10.000000,1.583
Data,  39.0, 832.87,30.19,33.60,  8.27,287.33, 40.59010,-105.14394,,7.000000, 1727.2,10.000000,1.581
Data,  39.0, 832.65,30.11,33.80,  8.26,301.12, 40.59013,-105.14404,,7.000000, 1729.6,9.000000,1.583
Data,  40.0, 832.33,30.01,34.00,  8.72,310.25, 40.59018,-105.14412,,7.000000, 1732.8,9.000000,1.574
Data,  42.0, 832.06,29.95,34.30,  6.64,334.25, 40.59022,-105.14416,,7.000000, 1735.4,9.000000,1.574
Data,  42.0, 831.68,29.85,34.50,  7.73,353.07, 40.59028,-105.14418,,7.000000, 1739.3,9.000000,1.583
Data,  43.0, 831.20,29.77,34.70,  7.08,345.74, 40.59035,-105.14420,,7.000000, 1744.7,9.000000,1.581
Data,  44.0, 830.92,29.68,34.90,  5.97,339.23, 40.59040,-105.14422,,7.000000, 1747.7,9.000000,1.583
Data,  45.0, 830.49,29.60,35.10,  3.77,341.39, 40.59044,-105.14424,,7.000000, 1751.2,9.000000,1.583
Data,  46.0, 830.15,29.53,35.10,  1.71,341.93, 40.59046,-105.14425,,7.000000, 1754.5,9.000000,1.583
Data,  47.0, 829.72,29.46,35.10,  0.82,341.93, 40.59045,-105.14424,,7.000000, 1758.1,9.000000,1.585
Data,  48.0, 829.45,29.40,35.30,  1.36,316.63, 40.59045,-105.14425,,7.000000, 1762.3,9.000000,1.581
Data,  49.0, 829.10,29.35,35.70,  4.18,275.86, 40.59045,-105.14429,,7.000000, 1767.1,9.000000,1.583
Data,  50.0, 828.87,29.28,35.90,  6.24,281.44, 40.59046,-105.14436,,7.000000, 1765.7,9.000000,1.583
Data,  51.0, 828.58,29.24,36.10,  9.23,292.97, 40.59049,-105.14445,,7.000000, 1768.8,9.000000,1.581
Data,  52.0, 828.05,29.15,36.20, 10.33,306.86, 40.59053,-105.14455,,7.000000, 1770.6,9.000000,1.583
Data,  53.0, 827.73,29.10,36.30,  9.77,318.33, 40.59060,-105.14463,,7.000000, 1773.0,9.000000,1.581
Data,  54.0, 827.42,29.05,36.30,  8.54,335.80, 40.59066,-105.14469,,7.000000, 1774.2,9.000000,1.583
Data,  55.0, 827.11,28.99,36.40,  8.06,356.55, 40.59074,-105.14470,,7.000000, 1777.5,10.000000,1.581
Data,  56.0, 826.47,28.91,36.50,  6.14,  3.95, 40.59079,-105.14468,,7.000000, 1782.2,9.000000,1.583
Data,  57.0, 825.93,28.82,36.70,  5.49,  6.66, 40.59084,-105.14466,,7.000000, 1787.8,9.000000,1.576
Data,  58.0, 825.42,28.76,36.80,  4.94,359.69, 40.59089,-105.14466,,7.000000, 1793.8,9.000000,1.585
Data,  59.0, 825.18,28.71,37.00,  4.19,354.41, 40.59093,-105.14466,,7.000000, 1797.5,9.000000,1.583
Data,  60.0, 824.81,28.67,37.10,  2.14,354.57, 40.59096,-105.14466,,7.000000, 1800.3,10.000000,1.585
Data,  62.0, 824.40,28.61,37.20,  0.41,354.57, 40.59096,-105.14466,,7.000000, 1803.8,9.000000,1.583
Data,  62.0, 824.25,28.56,37.40,  0.27,354.57, 40.59095,-105.14466,,7.000000, 1805.8,9.000000,1.581
Data,  63.0, 823.96,28.52,37.50,  1.02,343.59, 40.59095,-105.14467,,7.000000, 1807.8,10.000000,1.583
Data,  64.0, 823.64,28.47,37.70,  3.24,320.66, 40.59097,-105.14469,,7.000000, 1810.7,10.000000,1.583
Data,  65.0, 823.36,28.39,37.80,  4.42,330.33, 40.59099,-105.14471,,7.000000, 1814.4,10.000000,1.581
Data,  66.0, 822.94,28.35,38.00,  3.65,332.53, 40.59103,-105.14473,,7.000000, 1818.2,9.000000,1.583
Data,  67.0, 822.47,28.27,38.10,  2.48,324.65, 40.59104,-105.14474,,7.000000, 1823.3,9.000000,1.581
Data,  68.0, 822.17,28.23,38.10,  2.52,307.33, 40.59105,-105.14477,,7.000000, 1827.6,9.000000,1.585
Data,  69.0, 821.87,28.21,38.10,  3.99,299.82, 40.59107,-105.14480,,7.000000, 1830.6,9.000000,1.585
Data,  70.0, 821.53,28.17,38.30,  5.08,306.23, 40.59109,-105.14485,,7.000000, 1833.0,9.000000,1.581
Data,  71.0, 821.10,28.09,38.40,  6.35,326.14, 40.59113,-105.14489,,7.000000, 1836.1,10.000000,1.583
Data,  72.0, 820.91,28.07,38.50,  6.54,336.08, 40.59119,-105.14491,,7.000000, 1838.9,10.000000,1.581
Data,  73.0, 820.70,28.07,38.60,  4.91,344.39, 40.59124,-105.14492,,7.000000, 1841.4,9.000000,1.583
Data,  74.0, 820.26,28.04,38.60,  2.39,348.92, 40.59127,-105.14491,,7.000000, 1844.0,9.000000,1.574
Data,  75.0, 820.02,28.00,38.70,  0.99,340.25, 40.59128,-105.14492,,7.000000, 1847.2,9.000000,1.583
Data,  76.0, 819.84,28.00,38.70,  2.16,282.12, 40.59128,-105.14494,,7.000000, 1849.3,9.000000,1.585
Data,  77.0, 819.65,27.97,38.70,  3.88,281.33, 40.59128,-105.14498,,7.000000, 1850.8,9.000000,1.583
Data,  78.0, 819.57,27.96,38.60,  4.87,297.45, 40.59130,-105.14502,,7.000000, 1853.0,9.000000,1.583
Data,  79.0, 819.26,27.95,38.60,  6.30,317.29, 40.59135,-105.14507,,7.000000, 1856.7,9.000000,1.581
Data,  80.0, 819.04,27.93,38.60,  6.22,327.99, 40.59140,-105.14510,,7.000000, 1858.7,9.000000,1.583
Data,  81.0, 818.69,27.91,38.60,  4.82,345.36, 40.59144,-105.14510,,7.000000, 1861.3,9.000000,1.578
Data,  82.0, 818.57,27.90,38.50,  4.23,  0.30, 40.59148,-105.14508,,7.000000, 1863.0,9.000000,1.583
Data,  84.0, 818.45,27.89,38.50,  2.62, 10.44, 40.59150,-105.14506,,7.000000, 1864.1,12.000000,1.583
Data,  84.0, 818.33,27.87,38.40,  0.60, 13.21, 40.59151,-105.14505,,7.000000, 1864.0,10.000000,1.583
Data,  85.0, 818.17,27.83,38.50,  0.58,343.74, 40.59151,-105.14505,,7.000000, 1865.1,9.000000,1.581
Data,  86.0, 817.69,27.81,38.50,  3.36,293.20, 40.59152,-105.14508,,7.000000, 1867.6,9.000000,1.583
Data,  87.0, 817.36,27.73,38.70,  4.29,295.67, 40.59154,-105.14512,,7.000000, 1871.5,9.000000,1.581
Data,  88.0, 817.08,27.70,39.00,  4.88,300.41, 40.59156,-105.14517,,7.000000, 1875.4,9.000000,1.583
Data,  89.0, 816.78,27.68,39.20,  5.04,300.51, 40.59158,-105.14522,,7.000000, 1877.7,9.000000,1.583
Data,  90.0, 816.53,27.65,39.30,  4.39,296.01, 40.59160,-105.14527,,7.000000, 1881.2,10.000000,1.583
Data,  91.0, 816.32,27.64,39.30,  2.56,290.95, 40.59161,-105.14530,,7.000000, 1883.8,10.000000,1.576
Data,  92.0, 816.07,27.62,39.20,  1.04,280.13, 40.59160,-105.14532,,7.000000, 1885.9,9.000000,1.583
Data,  93.0, 815.85,27.60,38.90,  1.90,146.87, 40.59159,-105.14531,,7.000000, 1888.3,9.000000,1.581
Data,  94.0, 815.63,27.57,38.40,  2.43,113.45, 40.59159,-105.14528,,7.000000, 1891.1,10.000000,1.583
Data,  95.0, 815.50,27.56,38.10,  2.49, 80.93, 40.59161,-105.14525,,7.000000, 1893.1,9.000000,1.581
Data,  96.0, 815.24,27.52,37.70,  2.82, 41.09, 40.59163,-105.14524,,7.000000, 1896.0,9.000000,1.583
Data,  97.0, 814.92,27.49,37.90,  3.50,  2.71, 40.59166,-105.14525,,7.000000, 1899.5,9.000000,1.583
Data,  98.0, 814.69,27.45,38.20,  3.47,338.13, 40.59169,-105.14527,,7.000000, 1902.4,9.000000,1.583
Data,  99.0, 814.41,27.46,38.40,  2.63,319.21, 40.59170,-105.14530,,7.000000, 1905.5,9.000000,1.581
Data, 100.0, 813.96,27.41,38.80,  2.81,271.03, 40.59169,-105.14532,,7.000000, 1908.9,9.000000,1.583
Data, 101.0, 813.80,27.39,39.20,  2.48,240.92, 40.59167,-105.14534,,7.000000, 1911.8,9.000000,1.583
Data, 102.0, 813.62,27.39,39.50,  1.64,215.13, 40.59166,-105.14534,,7.000000, 1913.8,9.000000,1.583
Data, 103.0, 813.33,27.35,39.80,  0.83,197.02, 40.59165,-105.14534,,7.000000, 1916.4,9.000000,1.583
Data, 104.0, 813.08,27.30,40.10,  2.02,342.24, 40.59166,-105.14533,,7.000000, 1918.8,9.000000,1.583
Data, 106.0, 812.91,27.26,40.20,  3.45,  9.35, 40.59169,-105.14532,,7.000000, 1921.0,9.000000,1.581
Data, 106.0, 812.81,27.26,40.20,  4.03, 13.56, 40.59172,-105.14531,,7.000000, 1922.1,10.000000,1.583
Data, 107.0, 812.64,27.26,40.20,  4.66, 16.78, 40.59176,-105.14529,,7.000000, 1923.8,9.000000,1.583
Data, 108.0, 812.39,27.24,40.40,  4.89, 21.06, 40.59180,-105.14527,,7.000000, 1925.8,9.000000,1.570
Data, 109.0, 812.30,27.22,40.60,  4.90, 23.26, 40.59184,-105.14525,,7.000000, 1926.8,10.000000,1.574
Data, 110.0, 812.18,27.22,40.50,  4.44, 18.67, 40.59187,-105.14523,,7.000000, 1928.2,9.000000,1.578
Data, 111.0, 812.05,27.20,40.40,  3.92,  5.63, 40.59191,-105.14523,,7.000000, 1929.5,9.000000,1.581
Data, 112.0, 811.83,27.19,40.60,  3.53,341.50, 40.59194,-105.14525,,7.000000, 1931.7,10.000000,1.578
Data, 113.0, 811.66,27.18,40.50,  3.06,324.73, 40.59196,-105.14528,,7.000000, 1932.1,9.000000,1.583
Data, 114.0, 811.43,27.16,40.10,  2.96,305.17, 40.59196,-105.14532,,7.000000, 1933.1,9.000000,1.581
Data, 115.0, 811.33,27.16,39.70,  2.88,279.55, 40.59195,-105.14535,,7.000000, 1934.9,10.000000,1.583
Data, 116.0, 811.10,27.13,39.60,  2.83,262.57, 40.59195,-105.14538,,7.000000, 1936.2,9.000000,1.578
Data, 117.0, 810.71,27.08,39.60,  3.00,264.47, 40.59194,-105.14542,,7.000000, 1940.6,8.000000,1.581
Data, 118.0, 810.36,27.03,39.70,  3.68,281.34, 40.59195,-105.14545,,7.000000, 1945.5,9.000000,1.578
