Time,NodeID,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/07/21 17:18:32.000000,2970,0,24.97,63.8,846.852421,1.610752688172043,-63.0,40.58996,-105.14171,1549.75,11283.413755442376,4,9,0.45,0.0,0.007869438776826072
2021/07/21 17:18:33.000000,2970,1,24.98,63.7,846.849296,1.606451612903226,-63.0,40.58997,-105.14175,1550.56,11283.41065768081,4,9,0.17,0.0,0.007873554018181992
2021/07/21 17:18:34.000000,2970,2,24.99,63.6,846.867031,1.606451612903226,-63.0,40.58998,-105.14177,1550.72,11283.408696851777,4,10,0.63,0.0,0.007874367847007022
2021/07/21 17:18:35.000000,2970,3,25.01,63.5,846.849687,1.6,-63.0,40.58998,-105.14177,1550.64,11283.408696851777,4,9,0.14,0.0,0.007873961616727005
2021/07/21 17:18:36.000000,2970,4,25.0,63.4,846.826562,1.595698924731183,-62.0,40.58998,-105.14176,1550.42,11283.409265318198,4,9,0.87,0.0,0.007872844086817288
2021/07/21 17:18:37.000000,2970,5,25.01,63.4,846.827812,1.595698924731183,-62.0,40.58998,-105.14176,1550.74,11283.409265318198,4,10,0.66,0.0,0.007874469007855498
2021/07/21 17:18:38.000000,2970,6,25.02,63.3,846.8423429999999,1.595698924731183,-63.0,40.58998,-105.14175,1550.78,11283.409833784533,4,9,0.64,0.0,0.007874671726253607
2021/07/21 17:18:39.000000,2970,7,25.02,63.3,846.840156,1.5870967741935487,-62.0,40.58998,-105.14174,1550.8,11283.410402250785,4,9,0.08,0.0,0.007874772887076699
2021/07/21 17:18:40.000000,2970,8,25.04,63.4,846.835234,1.5870967741935487,-64.0,40.58998,-105.14174,1550.78,11283.410402250785,4,9,0.18,0.0,0.007874671329522043
2021/07/21 17:18:41.000000,2970,9,25.06,63.5,846.809296,1.5870967741935487,-64.0,40.58998,-105.14174,1550.48,11283.410402250785,4,10,0.62,0.0,0.007873147966202223
2021/07/21 17:18:42.000000,2970,10,25.05,63.6,846.831875,1.58494623655914,-64.0,40.58997,-105.14174,1550.35,11283.411226147162,4,9,0.53,0.0,0.007872487267260682
2021/07/21 17:18:43.000000,2970,11,25.06,63.6,846.834687,1.58494623655914,-62.0,40.58998,-105.14174,1550.5,11283.410402250785,4,10,0.08,0.0,0.007873249523756877
2021/07/21 17:18:44.000000,2970,12,25.06,63.9,846.824375,1.5827956989247314,-62.0,40.58997,-105.14173,1550.73,11283.411794613432,4,9,0.07,0.0,0.007874416463939543
2021/07/21 17:18:45.000000,2970,13,25.07,64.4,846.8279679999999,1.58494623655914,-63.0,40.58997,-105.14173,1550.84,11283.411794613432,4,10,0.08,0.0,0.007874975030421217
2021/07/21 17:18:46.000000,2970,14,25.07,64.6,846.8227340000001,1.5763440860215057,-62.0,40.58997,-105.14172,1550.91,11283.412363079615,4,9,0.39,0.0,0.007875330085054009
2021/07/21 17:18:47.000000,2970,15,25.07,64.6,846.8160929999999,1.578494623655914,-64.0,40.58997,-105.14172,1550.86,11283.412363079615,4,9,0.6,0.0,0.007875076191211495
2021/07/21 17:18:48.000000,2970,16,25.09,64.5,846.848125,1.589247311827957,-66.0,40.58997,-105.14172,1550.96,11283.412363079615,4,9,0.19,0.0,0.007875583978896523
2021/07/21 17:18:49.000000,2970,17,25.08,64.7,846.835156,1.589247311827957,-70.0,40.58997,-105.14172,1551.03,11283.412363079615,4,9,1.01,0.0,0.00787593943027604
2021/07/21 17:18:50.000000,2970,18,25.1,64.9,846.801328,1.5763440860215057,-66.0,40.58997,-105.14171,1551.2,11283.41293154572,4,9,0.77,0.0,0.007876802272501853
2021/07/21 17:18:51.000000,2970,19,25.11,64.9,846.83375,1.578494623655914,-62.0,40.58997,-105.14171,1551.36,11283.41293154572,4,9,1.51,0.0,0.007877614732756957
2021/07/21 17:18:52.000000,2970,20,25.13,65.0,846.847812,1.58494623655914,-67.0,40.58997,-105.14171,1551.51,11283.41293154572,4,9,1.97,108.08,0.007878376414246114
2021/07/21 17:18:53.000000,2970,21,25.12,64.5,846.827187,1.58494623655914,-59.0,40.58997,-105.1417,1551.78,11283.413500011739,4,9,0.93,108.08,0.007879747043939582
2021/07/21 17:18:54.000000,2970,22,25.15,64.0,846.827187,1.5763440860215057,-57.0,40.58997,-105.14171,1551.72,11283.41293154572,4,10,0.5,108.08,0.007879442768330932
2021/07/21 17:18:55.000000,2970,23,25.15,63.3,846.8297650000001,1.5720430107526884,-58.0,40.58997,-105.14171,1551.57,11283.41293154572,4,9,2.08,113.7,0.007878681086841777
2021/07/21 17:18:56.000000,2970,24,25.14,62.8,846.845156,1.5827956989247314,-63.0,40.58997,-105.14171,1551.57,11283.41293154572,4,9,0.94,113.7,0.007878681086841777
2021/07/21 17:18:57.000000,2970,25,25.15,62.3,846.828437,1.5720430107526884,-58.0,40.58997,-105.1417,1551.92,11283.413500011739,4,10,0.75,113.7,0.007880457946626973
2021/07/21 17:18:58.000000,2970,26,25.15,62.1,846.838125,1.5827956989247314,-58.0,40.58997,-105.1417,1552.09,11283.413500011739,4,10,0.89,113.7,0.007881321185604516
2021/07/21 17:18:59.000000,2970,27,25.17,62.0,846.8373429999999,1.5806451612903227,-61.0,40.58997,-105.14171,1552.22,11283.41293154572,4,9,0.22,113.7,0.00788198170662809
2021/07/21 17:19:00.000000,2970,28,25.17,61.6,846.811953,1.578494623655914,-60.0,40.58997,-105.14171,1552.32,11283.41293154572,4,9,0.84,113.7,0.007882489494287518
2021/07/21 17:19:01.000000,2970,29,25.17,61.3,846.8200780000001,1.5806451612903227,-59.0,40.58997,-105.1417,1552.58,11283.413500011739,4,9,0.07,113.7,0.007883809345010354
2021/07/21 17:19:02.000000,2970,30,25.17,61.1,846.820625,1.578494623655914,-62.0,40.58997,-105.1417,1552.7,11283.413500011739,4,9,1.0,113.7,0.007884418690170964
