FileFormat,CSV
Year,2021
Month,07
Day,20
Hour,18
Minute,25
Second,46
Pressure,,"units=mb"
Temperature,,"units=deg C"
RH,,"units=%"
Speed,,"units=m/s"
Direction,,"units=deg"
Latitude,40.5900,"units=deg"
Longitude,-105.1415,"units=deg"
Altitude,1571.9,"units=m"
GpsAltitude,1571.9,"units=m"
Ascending,"true"
Comments,""
DataType,""
EquipmentType,"0"
PlatformType,""
PlatformId,""
Project,"PRE-CIP-2021"
Flight,""
PtuWindTimeDiff,"0"
RadiationCorr,"0"
TrackingType,"19"
SondeId,"2971"
SondeModel,""
Operator,""
LaunchObsSource,"unknown"
LaunchObsTime,"unknown"
SvnRevision,"V3.4.6"
SvnLastChangedDate,"Fri Apr 30 16:17:27 2021 -0600"
Agency,""
AltInterpSpan,"60"
AspenVersion,"Aspen V3.4.6"
BlendLength,"4"
CabinTemp,"25"
ChuteArea,"900"
ConfigSetName,"upsonde-1s"
DatasetDOI,""
DiscardBadCrcData,"1"
DoQC,"1"
DragCoef,"0.61"
DropSondeMass,"320"
DropsondeHitSfc,"1"
Flight,""
GPSAltBuddySlope,"50"
GPSAltQCDev,"50"
GPSAltQCWL,"10"
GPSPosBuddySlope,"0.005"
GPSPosQCDev,"0.01"
GPSPosQCWL,"30"
IgnoreLaunchAlt,"0"
IgnoreLaunchLat,"0"
IgnoreLaunchLon,"0"
IgnoreLaunchPres,"0"
IgnoreLaunchRH,"0"
IgnoreLaunchTdry,"0"
IgnoreLaunchWdir,"0"
IgnoreLaunchWspd,"0"
ObsNum,"99"
PlatformId,""
PlatformType,""
PosInterpSpan,"60"
PresBuddySlope,"2"
PresEquilTimeOverride,"0"
PresMonoCheck,"1"
PresOffset,"0"
PresOutlier,"10"
PresQCDev,"3"
PresQCWL,"10"
PresSmoothWL,"10"
ProcessingTime,"23 Jul 2021 04:28 UTC"
Project,"PRE-CIP-2021"
QCDisclaimer,""
RHBuddySlope,"20"
RHEquilTimeOverride,"0"
RHOffset,"0"
RHOutlier,"10"
RHQCDev,"3"
RHQCWL,"10"
RHSmoothWL,"5"
RHThreshold,"0"
RHchoice,"0"
ReportObservedPos,"1"
SetHtsMissing,"0"
SfcAltUnknown,"0"
SfcAltitude,"1571.9"
SondeId,"2971"
SoundingDescription,"no_2971_L1_aspen.csv "
TdryBuddySlope,"3"
TdryDynCor,"0"
TdryDynCorWL,"60"
TdryEquilTimeOverride,"0"
TdryOffset,"0"
TdryOutlier,"10"
TdryQCDev,"0.5"
TdryQCWL,"10"
TdrySmoothWL,"10"
UseIgnoredLaunch,"1"
UseTheoryVentRate,"1"
WindBuddySlope,"5"
WindDisableW,"0"
WindDynCor,"0"
WindDynCorWL,"60"
WindEquilTime,"10"
WindErrorHigh,"1.5"
WindErrorLow,"1"
WindOutlier,"10"
WindQCDev,"3"
WindQCWL,"10"
WindSats,"4"
WindSmoothWL,"40"
WindVVPresWL,"5"
WindVVdelta,"2.5"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,Altitude,GPS Altitude,Dewpoint,Uwnd,Vwnd,Ascent
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,m,deg C,m/s,m/s,m/s
Data,0.0,846.70,34.47,28.80,0.01,226.90,40.58983,-105.14198,1571.9,1548.2,14.16,0.01,0.01,3.30
Data,1.0,846.57,34.46,28.64,1.21,318.11,40.58983,-105.14198,1573.3,1548.2,14.06,0.81,-0.90,3.47
Data,2.0,846.21,34.42,28.41,1.55,317.72,40.58984,-105.14198,1577.1,1550.8,13.91,1.04,-1.14,4.00
Data,3.0,845.79,34.36,28.22,1.87,317.45,40.58985,-105.14201,1581.6,1555.2,13.76,1.27,-1.38,4.71
Data,4.0,845.31,34.30,28.17,,,40.58989,-105.14208,1586.8,1558.0,13.68,,,5.39
Data,5.0,844.76,34.22,28.25,2.49,316.83,40.58995,-105.14211,1592.7,1563.6,13.65,1.70,-1.81,5.98
Data,6.0,844.18,34.13,28.32,2.77,316.30,40.58997,-105.14212,1598.9,1570.5,13.61,1.91,-2.00,6.42
Data,7.0,843.56,34.02,28.35,3.03,315.64,40.58995,-105.14213,1605.5,1577.1,13.54,2.12,-2.16,6.69
Data,8.0,842.93,33.91,28.43,3.26,314.93,40.58993,-105.14214,1612.3,1582.4,13.48,2.31,-2.30,6.77
Data,9.0,842.29,33.79,28.60,3.47,314.21,40.58994,-105.14218,1619.2,1589.2,13.46,2.49,-2.42,6.68
Data,10.0,841.66,33.65,28.78,3.65,313.51,40.58997,-105.14221,1626.0,1597.3,13.44,2.64,-2.51,6.47
Data,11.0,841.07,33.52,28.90,3.78,312.86,40.59001,-105.14228,1632.3,1601.9,13.39,2.77,-2.57,6.20
Data,12.0,840.52,33.37,28.97,3.89,312.25,40.59005,-105.14234,1638.2,1609.2,13.30,2.88,-2.61,6.05
Data,13.0,839.98,33.23,29.15,,,40.59005,-105.14237,1644.0,1616.2,13.26,,,6.03
Data,14.0,839.43,33.07,29.49,,,40.59004,-105.14246,1649.9,1622.1,13.31,,,6.18
Data,15.0,838.85,32.92,29.90,4.03,310.71,40.59007,-105.14255,1656.2,1628.5,13.38,3.05,-2.63,6.48
Data,16.0,838.22,32.77,30.25,4.05,310.33,40.59010,-105.14256,1662.9,1634.4,13.42,3.09,-2.62,6.80
Data,17.0,837.57,32.62,30.49,4.08,310.07,40.59012,-105.14253,1670.0,1642.7,13.41,3.12,-2.63,7.10
Data,18.0,836.89,32.47,30.65,4.13,309.94,40.59011,-105.14256,1677.2,1649.0,13.36,3.16,-2.65,7.32
Data,19.0,836.21,32.32,30.77,,,40.59011,-105.14266,1684.6,1655.5,13.29,,,7.43
Data,20.0,835.52,32.17,30.87,4.29,310.17,40.59013,-105.14272,1692.0,1662.0,13.21,3.27,-2.76,7.42
Data,21.0,834.83,32.02,30.98,4.40,310.45,40.59017,-105.14272,1699.4,1667.6,13.13,3.35,-2.85,7.27
Data,22.0,834.16,31.87,31.18,4.52,310.77,40.59022,-105.14272,1706.7,1676.4,13.09,3.43,-2.95,6.96
Data,23.0,833.52,31.73,31.39,4.66,311.13,40.59022,-105.14276,1713.6,1681.0,13.07,3.51,-3.06,6.49
Data,24.0,832.93,31.59,31.55,4.80,311.60,40.59022,-105.14285,1719.9,1688.1,13.02,3.59,-3.18,5.96
Data,25.0,832.40,31.46,31.66,4.93,312.22,40.59025,-105.14292,1725.6,1694.6,12.96,3.65,-3.31,5.42
Data,26.0,831.94,31.33,31.78,5.05,312.94,40.59030,-105.14293,1730.6,1697.6,12.90,3.69,-3.44,5.04
Data,27.0,831.51,31.21,31.89,5.15,313.73,40.59034,-105.14294,1735.2,1703.3,12.85,3.72,-3.56,4.88
Data,28.0,831.07,31.09,32.00,5.24,314.59,40.59038,-105.14300,1739.9,1704.0,12.80,3.73,-3.68,4.92
Data,29.0,830.62,30.98,32.12,5.32,315.53,40.59044,-105.14309,1744.9,1707.7,12.75,3.73,-3.80,5.12
Data,30.0,830.12,30.85,32.28,5.38,316.59,40.59047,-105.14316,1750.2,1713.2,12.71,3.70,-3.91,5.33
Data,31.0,829.60,30.72,32.48,5.43,317.76,40.59048,-105.14319,1755.8,1718.8,12.69,3.65,-4.02,5.44
Data,32.0,829.08,30.59,32.78,5.48,319.02,40.59050,-105.14320,1761.4,1724.0,12.72,3.59,-4.14,5.41
Data,33.0,828.58,30.47,33.23,5.53,320.34,40.59053,-105.14322,1766.9,1730.3,12.81,3.53,-4.26,5.22
Data,34.0,828.11,30.35,33.71,5.58,321.70,40.59057,-105.14328,1772.0,1733.5,12.92,3.46,-4.38,4.92
Data,35.0,827.67,30.23,34.06,5.63,323.06,40.59061,-105.14334,1776.7,1737.8,12.98,3.38,-4.50,4.58
Data,36.0,827.26,30.13,34.28,,,40.59062,-105.14338,1781.1,1743.6,12.98,,,4.28
Data,37.0,826.88,30.03,34.33,5.71,325.73,40.59065,-105.14337,1785.2,1748.4,12.91,3.21,-4.72,4.09
Data,38.0,826.53,29.93,34.37,,,40.59072,-105.14338,1789.0,1752.7,12.85,,,4.04
Data,39.0,826.17,29.85,34.55,5.74,328.08,40.59080,-105.14343,1792.9,1755.4,12.85,3.03,-4.87,4.15
Data,40.0,825.78,29.76,34.84,5.73,329.10,40.59084,-105.14349,1797.1,1760.6,12.90,2.94,-4.92,4.35
Data,41.0,825.35,29.68,35.07,,,40.59086,-105.14353,1801.7,1765.0,12.92,,,4.50
Data,42.0,824.91,29.59,35.22,5.67,330.79,40.59088,-105.14354,1806.5,1770.4,12.91,2.77,-4.95,4.55
Data,43.0,824.48,29.51,35.35,5.61,331.39,40.59094,-105.14352,1811.2,1774.3,12.89,2.69,-4.92,4.47
Data,44.0,824.07,29.43,35.45,5.53,331.81,40.59102,-105.14352,1815.7,1779.4,12.86,2.61,-4.87,4.28
Data,45.0,823.69,29.35,35.47,5.44,332.16,40.59108,-105.14357,1819.8,1785.3,12.80,2.54,-4.81,4.14
Data,46.0,823.33,29.28,35.45,5.33,332.54,40.59110,-105.14364,1823.6,1786.9,12.73,2.46,-4.73,4.06
Data,47.0,822.98,29.21,35.46,5.21,333.03,40.59111,-105.14370,1827.5,1790.0,12.68,2.36,-4.64,4.12
Data,48.0,822.59,29.15,35.55,5.09,333.65,40.59113,-105.14373,1831.6,1793.6,12.66,2.26,-4.56,4.29
Data,49.0,822.18,29.08,35.77,4.97,334.43,40.59116,-105.14372,1836.1,1799.2,12.68,2.15,-4.49,4.42
Data,50.0,821.75,29.00,36.06,4.87,335.34,40.59121,-105.14373,1840.7,1805.3,12.74,2.03,-4.42,4.47
Data,51.0,821.33,28.93,36.27,4.76,336.34,40.59123,-105.14378,1845.3,1809.6,12.76,1.91,-4.36,4.40
Data,52.0,820.92,28.85,36.49,,,40.59129,-105.14384,1849.7,1815.2,12.78,,,4.19
Data,53.0,820.54,28.78,36.72,4.59,338.39,40.59136,-105.14383,1853.8,1820.2,12.81,1.69,-4.27,3.96
Data,54.0,820.20,28.71,36.95,4.52,339.31,40.59136,-105.14379,1857.6,1825.0,12.84,1.60,-4.23,3.76
Data,55.0,819.88,28.64,37.15,4.47,340.11,40.59134,-105.14379,1861.0,1828.1,12.87,1.52,-4.20,3.67
Data,56.0,819.55,28.57,37.35,4.43,340.80,40.59135,-105.14382,1864.6,1831.3,12.88,1.46,-4.19,3.71
Data,57.0,819.20,28.50,37.51,4.41,341.41,40.59137,-105.14387,1868.4,1834.8,12.88,1.41,-4.18,3.82
Data,58.0,818.83,28.43,37.67,4.39,341.92,40.59141,-105.14392,1872.4,1839.7,12.88,1.36,-4.18,3.94
Data,59.0,818.46,28.36,37.84,4.37,342.29,40.59146,-105.14390,1876.4,1842.6,12.89,1.33,-4.17,4.04
Data,60.0,818.08,28.29,37.94,4.35,342.54,40.59148,-105.14385,1880.6,1847.5,12.87,1.30,-4.15,4.09
Data,61.0,817.70,28.23,37.97,4.32,342.69,40.59148,-105.14386,1884.7,1850.5,12.83,1.28,-4.12,4.13
Data,62.0,817.32,28.17,38.04,4.27,342.78,40.59149,-105.14393,1888.8,1853.4,12.80,1.26,-4.08,4.17
Data,63.0,816.94,28.12,38.13,4.22,342.79,40.59154,-105.14398,1892.9,1858.3,12.79,1.25,-4.03,4.23
Data,64.0,816.56,28.07,38.17,4.16,342.66,40.59160,-105.14397,1897.1,1861.8,12.76,1.24,-3.97,4.33
Data,65.0,816.15,28.02,38.19,4.09,342.34,40.59164,-105.14394,1901.5,1867.5,12.72,1.24,-3.90,4.45
Data,66.0,815.74,27.97,38.31,4.01,341.85,40.59165,-105.14394,1906.0,1872.8,12.72,1.25,-3.81,4.53
Data,67.0,815.31,27.92,38.47,3.93,341.24,40.59166,-105.14399,1910.7,1877.7,12.74,1.26,-3.72,4.55
Data,68.0,814.88,27.88,38.58,,,40.59171,-105.14405,1915.3,1880.0,12.75,,,4.49
Data,69.0,814.47,27.83,38.64,3.76,339.76,40.59178,-105.14408,1919.8,1884.3,12.73,1.30,-3.53,4.36
Data,70.0,814.08,27.79,38.65,3.67,338.95,40.59182,-105.14408,1924.0,1888.3,12.69,1.32,-3.42,4.23
Data,71.0,813.71,27.74,38.57,3.58,338.15,40.59184,-105.14408,1928.0,1892.5,12.62,1.33,-3.32,4.10
Data,72.0,813.35,27.70,38.49,3.50,337.41,40.59183,-105.14410,1932.0,1896.2,12.55,1.34,-3.23,4.00
Data,73.0,812.98,27.66,38.49,3.42,336.78,40.59184,-105.14411,1936.1,1898.8,12.52,1.35,-3.14,3.91
Data,74.0,812.61,27.61,38.53,3.35,336.31,40.59189,-105.14410,1940.1,1903.2,12.49,1.35,-3.07,3.81
Data,75.0,812.26,27.57,38.53,,,40.59197,-105.14414,1943.9,1906.4,12.45,,,3.71
Data,76.0,811.94,27.52,38.56,3.22,335.99,40.59203,-105.14417,1947.4,1911.3,12.41,1.31,-2.94,3.70
Data,77.0,811.61,27.46,38.70,3.16,336.34,40.59203,-105.14417,1950.9,1914.3,12.42,1.27,-2.90,3.78
Data,78.0,811.27,27.41,39.04,3.13,337.20,40.59202,-105.14417,1954.7,1919.6,12.50,1.21,-2.88,3.91
Data,79.0,810.89,27.36,39.45,3.11,338.57,40.59204,-105.14421,1958.8,1923.7,12.61,1.14,-2.89,4.07
Data,80.0,810.49,27.30,39.79,3.11,340.39,40.59207,-105.14424,1963.2,1929.7,12.70,1.04,-2.93,4.14
Data,81.0,810.10,27.26,40.13,3.13,342.52,40.59207,-105.14423,1967.4,1934.2,12.78,0.94,-2.99,4.12
Data,82.0,809.73,27.21,40.39,3.18,344.79,40.59209,-105.14419,1971.5,1937.2,12.84,0.83,-3.07,4.08
Data,83.0,809.37,27.16,40.51,3.25,347.05,40.59208,-105.14417,1975.4,1940.4,12.84,0.73,-3.17,4.05
Data,84.0,809.01,27.12,40.55,3.33,349.16,40.59208,-105.14422,1979.4,1944.5,12.81,0.63,-3.27,4.05
Data,85.0,808.64,27.07,40.66,3.42,351.05,40.59213,-105.14426,1983.4,1949.3,12.81,0.53,-3.38,4.12
Data,86.0,808.27,27.02,40.83,3.51,352.69,40.59219,-105.14425,1987.5,1951.8,12.83,0.45,-3.48,4.18
Data,87.0,807.88,26.97,40.94,3.60,354.07,40.59222,-105.14420,1991.8,1956.6,12.82,0.37,-3.58,4.22
Data,88.0,807.47,26.93,41.01,3.68,355.22,40.59221,-105.14419,1996.2,1961.6,12.81,0.31,-3.66,4.19
Data,89.0,807.09,26.89,41.14,3.75,356.14,40.59221,-105.14425,2000.4,1965.4,12.82,0.25,-3.75,4.10
Data,90.0,806.72,26.85,41.24,3.83,356.83,40.59224,-105.14430,2004.4,1970.0,12.82,0.21,-3.82,4.00
Data,91.0,806.38,26.81,41.06,3.89,357.26,40.59229,-105.14428,2008.2,1972.5,12.72,0.19,-3.88,3.96
Data,92.0,806.03,26.77,40.46,3.94,357.39,40.59232,-105.14423,2012.0,1974.8,12.46,0.18,-3.94,3.96
Data,93.0,805.67,26.73,39.77,,,40.59232,-105.14420,2016.0,1979.4,12.17,,,4.02
Data,94.0,805.29,26.69,39.28,4.02,356.42,40.59234,-105.14423,2020.1,1983.6,11.94,0.25,-4.01,4.04
Data,95.0,804.91,26.64,38.96,4.05,355.20,40.59236,-105.14426,2024.3,1989.8,11.78,0.34,-4.04,3.99
Data,96.0,804.54,26.60,38.80,4.08,353.45,40.59239,-105.14424,2028.3,1992.3,11.68,0.47,-4.06,3.86
Data,97.0,804.20,26.55,38.75,4.12,351.18,40.59242,-105.14418,2032.1,1997.9,11.62,0.63,-4.07,3.69
Data,98.0,803.88,26.50,38.89,,,40.59243,-105.14415,2035.6,2001.2,11.63,,,3.51
Data,99.0,803.58,26.46,39.19,4.23,345.69,40.59243,-105.14420,2038.9,2002.7,11.70,1.05,-4.10,3.37
Data,100.0,803.28,26.41,39.46,4.30,342.81,40.59245,-105.14425,2042.2,2005.5,11.76,1.27,-4.11,3.27
Data,101.0,802.98,26.37,39.53,,,40.59251,-105.14423,2045.5,2007.0,11.75,,,3.18
Data,102.0,802.69,26.33,39.54,,,40.59255,-105.14420,2048.7,2010.2,11.72,,,3.08
Data,103.0,802.41,26.29,39.62,4.60,335.85,40.59254,-105.14423,2051.8,2011.2,11.72,1.88,-4.20,2.96
Data,104.0,802.14,26.26,39.82,4.71,334.51,40.59253,-105.14429,2054.7,2015.7,11.76,2.03,-4.25,2.84
Data,105.0,801.90,26.23,40.08,4.81,333.75,40.59258,-105.14435,2057.4,2017.0,11.83,2.13,-4.31,2.78
Data,106.0,801.65,26.19,40.34,4.90,333.53,40.59266,-105.14437,2060.1,2019.2,11.90,2.18,-4.39,2.77
Data,107.0,801.40,26.16,40.53,,,40.59269,-105.14436,2062.9,2022.1,11.94,,,2.81
Data,108.0,801.14,26.13,40.58,5.03,334.39,40.59271,-105.14440,2065.8,2026.4,11.93,2.17,-4.53,2.90
Data,109.0,800.86,26.10,40.55,5.07,335.37,40.59276,-105.14446,2068.8,2029.6,11.89,2.11,-4.61,3.02
Data,110.0,800.58,26.06,40.54,,,40.59283,-105.14443,2071.9,2032.2,11.85,,,3.16
Data,111.0,800.29,26.03,40.54,5.13,338.22,40.59288,-105.14438,2075.1,2037.0,11.82,1.90,-4.76,3.35
Data,112.0,799.98,26.01,40.46,,,40.59288,-105.14437,2078.5,2038.7,11.77,,,3.59
Data,113.0,799.65,25.98,40.39,5.19,341.97,40.59290,-105.14442,2082.2,2041.9,11.72,1.61,-4.93,3.88
Data,114.0,799.29,25.96,40.40,5.23,344.01,40.59293,-105.14446,2086.1,2046.3,11.70,1.44,-5.03,4.20
Data,115.0,798.89,25.93,40.50,5.29,346.06,40.59300,-105.14447,2090.5,2051.3,11.71,1.27,-5.13,4.47
Data,116.0,798.47,25.89,40.57,5.35,348.05,40.59305,-105.14445,2095.2,2055.3,11.71,1.11,-5.23,4.66
Data,117.0,798.03,25.86,40.58,5.42,349.90,40.59308,-105.14441,2100.0,2058.6,11.68,0.95,-5.34,4.72
Data,118.0,797.59,25.83,40.52,5.50,351.53,40.59311,-105.14438,2104.9,2064.7,11.64,0.81,-5.44,4.63
Data,119.0,797.18,25.80,40.45,5.59,352.92,40.59313,-105.14441,2109.5,2068.6,11.58,0.69,-5.55,4.47
Data,120.0,796.78,25.77,40.40,5.69,354.11,40.59318,-105.14447,2113.8,2072.6,11.53,0.58,-5.66,4.29
Data,121.0,796.42,25.74,40.47,5.77,355.12,40.59325,-105.14450,2117.9,2076.5,11.53,0.49,-5.75,4.17
Data,122.0,796.05,25.71,40.57,5.86,355.92,40.59332,-105.14446,2121.9,2080.6,11.54,0.42,-5.84,4.17
Data,123.0,795.68,25.68,40.68,5.94,356.46,40.59335,-105.14442,2126.0,2086.0,11.55,0.37,-5.93,4.25
Data,124.0,795.30,25.65,40.77,,,40.59337,-105.14443,2130.3,2089.7,11.56,,,4.41
Data,125.0,794.89,25.61,40.75,6.08,356.85,40.59341,-105.14444,2134.8,2093.7,11.52,0.33,-6.08,4.56
Data,126.0,794.46,25.58,40.55,,,40.59349,-105.14445,2139.5,2098.5,11.42,,,4.62
Data,127.0,794.03,25.54,40.25,6.20,356.65,40.59358,-105.14446,2144.3,2104.8,11.27,0.36,-6.19,4.59
Data,128.0,793.61,25.51,40.03,,,40.59361,-105.14444,2148.9,2108.3,11.16,,,4.44
Data,129.0,793.22,25.48,39.86,,,40.59362,-105.14445,2153.3,2113.3,11.07,,,4.23
Data,130.0,792.85,25.45,39.60,6.30,355.96,40.59366,-105.14452,2157.4,2117.4,10.95,0.44,-6.29,4.07
Data,131.0,792.50,25.43,39.23,,,40.59374,-105.14455,2161.2,2120.4,10.79,,,3.98
Data,132.0,792.16,25.41,38.79,6.32,355.45,40.59382,-105.14453,2165.0,2123.4,10.60,0.50,-6.30,4.03
Data,133.0,791.79,25.40,38.42,6.33,355.15,40.59388,-105.14451,2169.1,2127.5,10.45,0.53,-6.30,4.19
Data,134.0,791.40,25.38,38.15,6.33,354.79,40.59391,-105.14454,2173.4,2131.3,10.33,0.57,-6.30,4.36
Data,135.0,790.99,25.36,37.91,6.33,354.37,40.59395,-105.14457,2178.0,2137.9,10.21,0.62,-6.30,4.53
Data,136.0,790.58,25.33,37.74,6.34,353.87,40.59402,-105.14456,2182.6,2141.6,10.12,0.68,-6.30,4.62
Data,137.0,790.16,25.30,37.93,,,40.59412,-105.14452,2187.3,2144.7,10.18,,,4.64
Data,138.0,789.74,25.28,38.43,6.36,352.80,40.59419,-105.14450,2191.9,2147.7,10.34,0.80,-6.31,4.58
Data,139.0,789.33,25.25,38.90,,,40.59421,-105.14451,2196.5,2151.7,10.50,,,4.46
Data,140.0,788.92,25.22,39.12,6.43,351.95,40.59424,-105.14455,2201.0,2155.6,10.56,0.90,-6.37,4.32
Data,141.0,788.54,25.19,39.11,6.48,351.76,40.59430,-105.14460,2205.2,2159.7,10.53,0.93,-6.41,4.19
Data,142.0,788.18,25.17,38.82,6.55,351.76,40.59434,-105.14465,2209.3,2161.9,10.40,0.94,-6.48,4.17
Data,143.0,787.82,25.15,38.09,6.64,351.93,40.59436,-105.14468,2213.3,2166.7,10.09,0.93,-6.57,4.28
Data,144.0,787.43,25.13,37.09,6.74,352.15,40.59440,-105.14469,2217.6,2171.6,9.68,0.92,-6.68,4.53
Data,145.0,787.01,25.11,36.23,6.85,352.33,40.59447,-105.14467,2222.3,2175.1,9.32,0.91,-6.79,4.90
Data,146.0,786.56,25.09,35.61,6.96,352.45,40.59456,-105.14464,2227.4,2179.8,9.05,0.92,-6.90,5.27
Data,147.0,786.06,25.08,35.09,7.07,352.45,40.59464,-105.14464,2232.9,2184.1,8.82,0.93,-7.01,5.62
Data,148.0,785.53,25.06,34.65,7.18,352.34,40.59471,-105.14464,2238.8,2191.3,8.62,0.96,-7.12,5.86
Data,149.0,784.99,25.04,34.37,7.28,352.13,40.59478,-105.14466,2244.8,2197.4,8.48,1.00,-7.22,5.97
Data,150.0,784.46,25.02,34.30,7.39,351.83,40.59483,-105.14465,2250.8,2201.2,8.44,1.05,-7.32,5.98
Data,151.0,783.93,24.99,34.30,7.50,351.48,40.59488,-105.14462,2256.8,2207.7,8.41,1.11,-7.42,5.92
Data,152.0,783.41,24.97,34.23,7.61,351.12,40.59495,-105.14461,2262.6,2213.8,8.37,1.18,-7.52,5.83
Data,153.0,782.90,24.96,34.15,7.73,350.79,40.59504,-105.14466,2268.3,2219.7,8.32,1.24,-7.63,5.73
Data,154.0,782.39,24.94,34.09,7.85,350.52,40.59509,-105.14471,2274.0,2226.7,8.28,1.29,-7.74,5.62
Data,155.0,781.89,24.93,34.02,,,40.59513,-105.14472,2279.6,2232.3,8.24,,,5.49
Data,156.0,781.40,24.91,34.05,8.12,350.23,40.59520,-105.14468,2285.1,2238.1,8.23,1.38,-8.00,5.35
Data,157.0,780.93,24.89,34.12,8.27,350.23,40.59529,-105.14468,2290.4,2245.3,8.25,1.40,-8.15,5.22
Data,158.0,780.48,24.88,34.17,8.43,350.34,40.59537,-105.14473,2295.5,2250.6,8.26,1.41,-8.31,5.12
Data,159.0,780.03,24.86,34.20,8.60,350.53,40.59541,-105.14480,2300.5,2256.4,8.25,1.41,-8.48,5.09
Data,160.0,779.58,24.84,34.19,8.79,350.79,40.59546,-105.14481,2305.5,2261.9,8.23,1.41,-8.68,5.13
Data,161.0,779.13,24.82,34.18,9.01,351.07,40.59552,-105.14480,2310.6,2267.0,8.21,1.40,-8.90,5.21
Data,162.0,778.66,24.80,34.17,9.23,351.37,40.59561,-105.14477,2315.9,2272.1,8.19,1.38,-9.13,5.29
Data,163.0,778.18,24.78,33.99,9.46,351.67,40.59571,-105.14478,2321.3,2278.0,8.09,1.37,-9.36,5.33
Data,164.0,777.70,24.76,33.58,9.68,351.97,40.59580,-105.14485,2326.7,2283.3,7.90,1.35,-9.59,5.32
Data,165.0,777.22,24.73,33.08,,,40.59586,-105.14490,2332.1,2290.1,7.66,,,5.26
Data,166.0,776.77,24.71,32.72,10.11,352.46,40.59592,-105.14488,2337.2,2295.8,7.47,1.33,-10.03,5.16
Data,167.0,776.32,24.69,32.53,10.31,352.65,40.59603,-105.14484,2342.3,2300.7,7.37,1.32,-10.23,5.06
Data,168.0,775.88,24.66,32.44,10.49,352.83,40.59616,-105.14485,2347.2,2305.3,7.31,1.31,-10.41,4.97
Data,169.0,775.45,24.64,32.36,10.65,352.99,40.59627,-105.14490,2352.1,2309.6,7.25,1.30,-10.57,4.84
Data,170.0,775.02,24.61,32.32,10.78,353.16,40.59634,-105.14496,2356.9,2314.5,7.21,1.29,-10.71,4.67
Data,171.0,774.61,24.59,32.38,,,40.59641,-105.14497,2361.6,2321.9,7.21,,,4.42
Data,172.0,774.22,24.56,32.40,11.02,353.48,40.59649,-105.14493,2366.0,2326.6,7.20,1.25,-10.95,4.09
Data,173.0,773.87,24.54,32.19,,,40.59662,-105.14491,2370.0,2331.1,7.09,,,3.77
Data,174.0,773.56,24.53,31.68,11.20,353.76,40.59674,-105.14496,2373.5,2334.3,6.84,1.22,-11.13,3.48
Data,175.0,773.28,24.52,30.95,,,40.59682,-105.14501,2376.7,2337.2,6.50,,,3.35
Data,176.0,773.00,24.51,30.21,11.32,353.91,40.59690,-105.14503,2379.8,2340.4,6.14,1.20,-11.26,3.39
Data,177.0,772.70,24.51,29.56,11.37,353.93,40.59700,-105.14502,2383.2,2343.3,5.83,1.20,-11.31,3.52
Data,178.0,772.37,24.50,29.12,11.41,353.90,40.59711,-105.14503,2386.9,2345.7,5.61,1.21,-11.35,3.70
Data,179.0,772.02,24.49,28.95,11.45,353.83,40.59721,-105.14508,2390.9,2349.0,5.52,1.23,-11.38,3.81
Data,180.0,771.67,24.48,28.92,11.48,353.71,40.59731,-105.14509,2394.9,2352.3,5.49,1.26,-11.41,3.80
Data,181.0,771.34,24.47,28.77,11.50,353.54,40.59742,-105.14507,2398.6,2357.1,5.40,1.30,-11.43,3.73
Data,182.0,771.02,24.46,28.56,11.53,353.29,40.59750,-105.14508,2402.2,2361.2,5.29,1.35,-11.46,3.61
Data,183.0,770.71,24.45,28.35,,,40.59762,-105.14514,2405.7,2362.2,5.18,,,3.49
Data,184.0,770.41,24.44,28.19,11.59,352.64,40.59774,-105.14514,2409.2,2364.9,5.09,1.48,-11.50,3.38
Data,185.0,770.12,24.43,28.09,,,40.59782,-105.14515,2412.5,2368.4,5.03,,,3.28
Data,186.0,769.83,24.42,28.02,11.62,351.85,40.59791,-105.14520,2415.7,2371.9,4.99,1.65,-11.50,3.22
Data,187.0,769.56,24.41,27.97,11.62,351.45,40.59803,-105.14521,2418.9,2372.8,4.95,1.73,-11.49,3.18
Data,188.0,769.28,24.41,27.91,,,40.59811,-105.14521,2422.0,2375.4,4.92,,,3.16
Data,189.0,769.00,24.40,27.83,11.58,350.74,40.59820,-105.14526,2425.2,2380.1,4.87,1.86,-11.43,3.16
Data,190.0,768.72,24.39,27.73,,,40.59833,-105.14528,2428.4,2383.5,4.81,,,3.15
Data,191.0,768.44,24.39,27.53,,,40.59842,-105.14528,2431.6,2386.2,4.71,,,3.15
Data,192.0,768.16,24.39,27.31,11.48,350.21,40.59850,-105.14531,2434.8,2389.9,4.59,1.95,-11.31,3.14
Data,193.0,767.89,24.39,27.07,,,40.59862,-105.14533,2437.9,2392.0,4.47,,,3.14
Data,194.0,767.62,24.39,26.83,11.42,350.23,40.59874,-105.14532,2441.0,2396.1,4.34,1.94,-11.26,3.19
Data,195.0,767.34,24.39,26.61,11.41,350.33,40.59883,-105.14534,2444.1,2400.2,4.23,1.92,-11.25,3.28
