FileFormat,CSV
Year,2021
Month,07
Day,20
Hour,18
Minute,25
Second,46
Pressure,,"units=mb"
Temperature,,"units=deg C"
RH,,"units=%"
Speed,,"units=m/s"
Direction,,"units=deg"
Latitude,40.5900,"units=deg"
Longitude,-105.1415,"units=deg"
Altitude,1571.9,"units=m"
GpsAltitude,1571.9,"units=m"
Ascending,"true"
Comments,""
DataType,""
EquipmentType,"0"
PlatformType,""
PlatformId,""
Project,"PRE-CIP-2021"
Flight,""
PtuWindTimeDiff,"0"
RadiationCorr,"0"
TrackingType,"19"
SondeId,"2972"
SondeModel,""
Operator,""
LaunchObsSource,"unknown"
LaunchObsTime,"unknown"
SvnRevision,"V3.4.6"
SvnLastChangedDate,"Fri Apr 30 16:17:27 2021 -0600"
Agency,""
AltInterpSpan,"60"
AspenVersion,"Aspen V3.4.6"
BlendLength,"4"
CabinTemp,"25"
ChuteArea,"900"
ConfigSetName,"upsonde-1s"
DatasetDOI,""
DiscardBadCrcData,"1"
DoQC,"1"
DragCoef,"0.61"
DropSondeMass,"320"
DropsondeHitSfc,"1"
Flight,""
GPSAltBuddySlope,"50"
GPSAltQCDev,"50"
GPSAltQCWL,"10"
GPSPosBuddySlope,"0.005"
GPSPosQCDev,"0.01"
GPSPosQCWL,"30"
IgnoreLaunchAlt,"0"
IgnoreLaunchLat,"0"
IgnoreLaunchLon,"0"
IgnoreLaunchPres,"0"
IgnoreLaunchRH,"0"
IgnoreLaunchTdry,"0"
IgnoreLaunchWdir,"0"
IgnoreLaunchWspd,"0"
ObsNum,"99"
PlatformId,""
PlatformType,""
PosInterpSpan,"60"
PresBuddySlope,"2"
PresEquilTimeOverride,"0"
PresMonoCheck,"1"
PresOffset,"0"
PresOutlier,"10"
PresQCDev,"3"
PresQCWL,"10"
PresSmoothWL,"10"
ProcessingTime,"23 Jul 2021 04:28 UTC"
Project,"PRE-CIP-2021"
QCDisclaimer,""
RHBuddySlope,"20"
RHEquilTimeOverride,"0"
RHOffset,"0"
RHOutlier,"10"
RHQCDev,"3"
RHQCWL,"10"
RHSmoothWL,"5"
RHThreshold,"0"
RHchoice,"0"
ReportObservedPos,"1"
SetHtsMissing,"0"
SfcAltUnknown,"0"
SfcAltitude,"1571.9"
SondeId,"2972"
SoundingDescription,"no_2972_L1_aspen.csv "
TdryBuddySlope,"3"
TdryDynCor,"0"
TdryDynCorWL,"60"
TdryEquilTimeOverride,"0"
TdryOffset,"0"
TdryOutlier,"10"
TdryQCDev,"0.5"
TdryQCWL,"10"
TdrySmoothWL,"10"
UseIgnoredLaunch,"1"
UseTheoryVentRate,"1"
WindBuddySlope,"5"
WindDisableW,"0"
WindDynCor,"0"
WindDynCorWL,"60"
WindEquilTime,"10"
WindErrorHigh,"1.5"
WindErrorLow,"1"
WindOutlier,"10"
WindQCDev,"3"
WindQCWL,"10"
WindSats,"4"
WindSmoothWL,"40"
WindVVPresWL,"5"
WindVVdelta,"2.5"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,Altitude,GPS Altitude,Dewpoint,Uwnd,Vwnd,Ascent
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,m,deg C,m/s,m/s,m/s
Data,0.0,846.81,33.60,29.70,0.15,218.31,40.58971,-105.14185,1571.9,1551.6,13.87,0.09,0.12,2.37
Data,1.0,846.80,33.63,30.06,1.66,286.56,40.58971,-105.14185,1572.0,1551.8,14.08,1.59,-0.47,2.59
Data,2.0,846.54,33.63,30.29,2.14,286.95,40.58970,-105.14185,1574.7,1551.8,14.20,2.04,-0.62,3.23
Data,3.0,846.18,33.62,30.27,2.60,287.19,40.58970,-105.14187,1578.6,1554.0,14.18,2.48,-0.77,4.04
Data,4.0,845.74,33.59,30.02,3.05,287.32,40.58971,-105.14189,1583.4,1559.4,14.03,2.91,-0.91,4.67
Data,5.0,845.24,33.54,29.70,3.48,287.33,40.58973,-105.14193,1588.6,1567.1,13.82,3.32,-1.04,5.08
Data,6.0,844.74,33.48,29.46,3.87,287.21,40.58975,-105.14200,1594.0,1572.8,13.64,3.70,-1.15,5.17
Data,7.0,844.26,33.40,29.38,4.23,286.92,40.58976,-105.14207,1599.1,1579.0,13.53,4.04,-1.23,5.01
Data,8.0,843.82,33.31,29.46,4.53,286.46,40.58979,-105.14213,1603.9,1585.4,13.50,4.35,-1.28,4.75
Data,9.0,843.39,33.22,29.65,4.79,285.79,40.58984,-105.14219,1608.4,1590.7,13.52,4.61,-1.30,4.43
Data,10.0,843.00,33.13,29.84,5.01,284.98,40.58988,-105.14225,1612.7,1597.7,13.53,4.84,-1.30,4.14
Data,11.0,842.62,33.04,29.98,5.19,284.09,40.58989,-105.14232,1616.7,1603.2,13.52,5.03,-1.26,3.92
Data,12.0,842.27,32.94,30.18,5.34,283.17,40.58988,-105.14238,1620.5,1608.7,13.54,5.20,-1.22,3.83
Data,13.0,841.92,32.85,30.40,5.46,282.29,40.58986,-105.14242,1624.2,1615.2,13.57,5.33,-1.16,3.88
Data,14.0,841.57,32.76,30.58,5.56,281.49,40.58985,-105.14247,1628.0,1620.4,13.58,5.45,-1.11,4.05
Data,15.0,841.18,32.67,30.71,5.65,280.78,40.58986,-105.14254,1632.1,1625.5,13.56,5.55,-1.06,4.34
Data,16.0,840.76,32.57,30.81,5.72,280.15,40.58986,-105.14261,1636.7,1631.1,13.53,5.63,-1.01,4.62
Data,17.0,840.31,32.46,30.87,5.78,279.56,40.58986,-105.14265,1641.5,1635.8,13.46,5.70,-0.96,4.83
Data,18.0,839.84,32.33,30.89,5.83,279.02,40.58983,-105.14266,1646.5,1639.6,13.36,5.76,-0.91,4.91
Data,19.0,839.37,32.20,30.92,5.87,278.50,40.58983,-105.14273,1651.5,1644.5,13.25,5.80,-0.87,4.83
Data,20.0,838.93,32.05,31.02,5.89,277.98,40.58985,-105.14283,1656.3,1649.0,13.17,5.84,-0.82,4.62
Data,21.0,838.50,31.91,31.23,,,40.58991,-105.14292,1660.8,1654.5,13.15,,,4.30
Data,22.0,838.12,31.78,31.47,5.89,276.84,40.58997,-105.14304,1665.0,1660.8,13.15,5.85,-0.70,3.98
Data,24.0,837.45,31.55,31.85,5.82,275.76,40.58997,-105.14310,1672.1,1668.5,13.13,5.79,-0.58,3.65
Data,25.0,837.13,31.44,32.00,5.75,275.54,40.58994,-105.14317,1675.6,1671.8,13.10,5.72,-0.55,3.70
Data,26.0,836.77,31.34,32.06,5.67,275.66,40.58993,-105.14325,1679.5,1677.1,13.05,5.64,-0.56,3.80
Data,27.0,836.39,31.24,32.17,5.56,276.22,40.58993,-105.14333,1683.5,1680.9,13.01,5.53,-0.60,3.83
Data,29.0,835.66,31.06,32.41,5.31,278.94,40.58994,-105.14358,1691.4,1691.3,12.96,5.25,-0.83,3.66
Data,31.0,835.04,30.86,32.39,5.08,283.98,40.58993,-105.14363,1698.0,1699.3,12.78,4.93,-1.23,3.44
Data,32.0,834.73,30.76,32.46,5.01,287.31,40.58991,-105.14368,1701.3,1702.0,12.72,4.78,-1.49,3.46
Data,33.0,834.40,30.66,32.59,4.99,291.03,40.58989,-105.14368,1704.9,1705.7,12.69,4.65,-1.79,3.43
Data,34.0,834.06,30.57,32.75,5.01,294.90,40.58991,-105.14368,1708.5,1711.2,12.68,4.55,-2.11,3.34
Data,35.0,833.73,30.48,32.94,5.08,298.65,40.58994,-105.14370,1712.0,1715.6,12.69,4.46,-2.44,3.18
Data,37.0,833.19,30.31,33.26,5.29,305.24,40.59007,-105.14384,1717.9,1724.4,12.69,4.32,-3.05,2.83
Data,39.0,832.69,30.14,33.71,5.45,310.49,40.59013,-105.14404,1723.2,1727.2,12.74,4.14,-3.54,2.93
Data,40.0,832.42,30.05,33.96,5.49,312.71,40.59018,-105.14412,1726.1,1732.8,12.77,4.03,-3.72,3.24
Data,42.0,831.75,29.88,34.42,5.49,316.52,40.59022,-105.14416,1733.3,1739.3,12.82,3.77,-3.98,3.98
Data,43.0,831.34,29.78,34.68,5.45,318.01,40.59035,-105.14420,1737.6,1744.7,12.85,3.65,-4.05,4.23
Data,44.0,830.93,29.69,34.90,5.41,319.19,40.59040,-105.14422,1742.1,1747.7,12.86,3.53,-4.09,4.30
Data,45.0,830.52,29.61,35.04,5.36,320.11,40.59044,-105.14424,1746.5,1751.2,12.85,3.43,-4.11,4.21
Data,46.0,830.14,29.53,35.09,5.31,320.84,40.59046,-105.14425,1750.6,1754.5,12.80,3.36,-4.12,3.99
Data,47.0,829.78,29.46,35.16,5.28,321.45,40.59045,-105.14424,1754.5,1758.1,12.77,3.29,-4.13,3.75
Data,48.0,829.45,29.40,35.35,5.27,322.08,40.59045,-105.14425,1758.0,1762.3,12.80,3.24,-4.16,3.55
Data,49.0,829.14,29.34,35.64,5.27,322.82,40.59045,-105.14429,1761.4,1767.1,12.87,3.18,-4.20,3.46
Data,50.0,828.82,29.28,35.90,5.27,323.76,40.59046,-105.14436,1764.7,1765.7,12.93,3.11,-4.25,3.50
Data,51.0,828.49,29.22,36.09,5.25,324.98,40.59049,-105.14445,1768.3,1768.8,12.95,3.01,-4.30,3.66
Data,52.0,828.14,29.16,36.21,5.21,326.50,40.59053,-105.14455,1772.1,1770.6,12.95,2.88,-4.35,3.91
Data,53.0,827.77,29.10,36.28,5.14,328.22,40.59060,-105.14463,1776.1,1773.0,12.92,2.71,-4.37,4.22
Data,54.0,827.38,29.04,36.33,5.04,330.07,40.59066,-105.14469,1780.3,1774.2,12.89,2.51,-4.37,4.53
Data,55.0,826.94,28.97,36.40,4.89,331.92,40.59074,-105.14470,1785.0,1777.5,12.86,2.30,-4.32,4.79
Data,56.0,826.47,28.90,36.52,4.72,333.64,40.59079,-105.14468,1790.1,1782.2,12.84,2.10,-4.23,4.85
Data,57.0,826.00,28.84,36.67,4.53,335.08,40.59084,-105.14466,1795.2,1787.8,12.84,1.91,-4.11,4.69
Data,58.0,825.56,28.77,36.83,4.33,336.18,40.59089,-105.14466,1799.9,1793.8,12.85,1.75,-3.96,4.35
Data,59.0,825.18,28.72,36.97,4.12,336.88,40.59093,-105.14466,1804.0,1797.5,12.86,1.62,-3.79,3.88
Data,60.0,824.85,28.67,37.09,3.93,337.12,40.59096,-105.14466,1807.5,1800.3,12.87,1.53,-3.62,3.51
Data,62.0,824.27,28.57,37.32,3.61,336.25,40.59096,-105.14466,1813.7,1803.8,12.87,1.45,-3.31,3.26
Data,63.0,823.97,28.52,37.49,3.51,335.21,40.59095,-105.14467,1817.0,1807.8,12.90,1.47,-3.18,3.42
Data,64.0,823.65,28.46,37.67,3.44,333.87,40.59097,-105.14469,1820.5,1810.7,12.92,1.51,-3.08,3.61
Data,65.0,823.29,28.40,37.83,3.40,332.35,40.59099,-105.14471,1824.3,1814.4,12.93,1.58,-3.01,3.81
Data,66.0,822.92,28.34,37.98,3.40,330.75,40.59103,-105.14473,1828.3,1818.2,12.93,1.66,-2.96,3.92
Data,67.0,822.55,28.29,38.07,3.41,329.20,40.59104,-105.14474,1832.4,1823.3,12.92,1.75,-2.93,3.93
Data,68.0,822.19,28.24,38.10,3.45,327.77,40.59105,-105.14477,1836.3,1827.6,12.89,1.84,-2.92,3.86
Data,69.0,821.84,28.19,38.16,3.50,326.53,40.59107,-105.14480,1840.0,1830.6,12.87,1.93,-2.92,3.73
Data,70.0,821.50,28.15,38.27,3.55,325.52,40.59109,-105.14485,1843.7,1833.0,12.87,2.01,-2.92,3.56
Data,71.0,821.18,28.11,38.40,3.59,324.70,40.59113,-105.14489,1847.1,1836.1,12.89,2.07,-2.93,3.37
Data,72.0,820.88,28.08,38.50,3.62,324.00,40.59119,-105.14491,1850.3,1838.9,12.90,2.13,-2.93,3.18
Data,73.0,820.60,28.06,38.58,3.64,323.36,40.59124,-105.14492,1853.4,1841.4,12.91,2.17,-2.92,2.97
Data,74.0,820.33,28.03,38.63,3.65,322.77,40.59127,-105.14491,1856.4,1844.0,12.91,2.21,-2.90,2.76
Data,75.0,820.08,28.01,38.68,3.65,322.24,40.59128,-105.14492,1859.1,1847.2,12.91,2.23,-2.89,2.55
Data,76.0,819.86,27.99,38.70,3.65,321.80,40.59128,-105.14494,1861.5,1849.3,12.90,2.25,-2.86,2.37
Data,77.0,819.66,27.98,38.68,3.63,321.48,40.59128,-105.14498,1863.6,1850.8,12.87,2.26,-2.84,2.27
Data,78.0,819.46,27.96,38.63,3.61,321.33,40.59130,-105.14502,1865.8,1853.0,12.84,2.25,-2.82,2.21
Data,79.0,819.24,27.95,38.60,3.56,321.31,40.59135,-105.14507,1868.1,1856.7,12.82,2.23,-2.78,2.15
Data,80.0,819.03,27.93,38.60,3.49,321.30,40.59140,-105.14510,1870.4,1858.7,12.80,2.18,-2.73,2.08
Data,81.0,818.82,27.92,38.57,3.40,321.22,40.59144,-105.14510,1872.6,1861.3,12.78,2.13,-2.65,2.01
Data,82.0,818.65,27.91,38.52,3.29,320.99,40.59148,-105.14508,1874.5,1863.0,12.75,2.07,-2.56,1.98
Data,84.0,818.30,27.87,38.45,3.02,319.82,40.59150,-105.14505,1878.3,1864.0,12.69,1.95,-2.31,2.52
Data,85.0,818.05,27.83,38.47,2.87,318.93,40.59151,-105.14505,1881.0,1865.1,12.67,1.89,-2.17,2.89
Data,86.0,817.75,27.79,38.54,2.72,317.97,40.59152,-105.14508,1884.3,1867.6,12.66,1.82,-2.02,3.22
Data,87.0,817.42,27.75,38.73,2.56,317.08,40.59154,-105.14512,1887.9,1871.5,12.69,1.74,-1.87,3.35
Data,88.0,817.10,27.71,38.97,2.39,316.43,40.59156,-105.14517,1891.4,1875.4,12.75,1.65,-1.73,3.27
Data,89.0,816.81,27.68,39.19,2.21,316.23,40.59158,-105.14522,1894.5,1877.7,12.81,1.53,-1.60,3.07
Data,90.0,816.54,27.66,39.30,2.02,316.62,40.59160,-105.14527,1897.4,1881.2,12.83,1.39,-1.47,2.81
Data,91.0,816.30,27.64,39.31,1.83,317.78,40.59161,-105.14530,1900.0,1883.8,12.81,1.23,-1.36,2.57
Data,92.0,816.08,27.62,39.17,1.65,319.90,40.59160,-105.14532,1902.4,1885.9,12.74,1.06,-1.26,2.41
Data,93.0,815.87,27.60,38.86,1.50,323.02,40.59159,-105.14531,1904.7,1888.3,12.60,0.90,-1.20,2.34
Data,94.0,815.66,27.57,38.44,1.38,326.99,40.59159,-105.14528,1907.0,1891.1,12.42,0.75,-1.16,2.39
Data,95.0,815.44,27.55,38.05,1.30,331.45,40.59161,-105.14525,1909.4,1893.1,12.24,0.62,-1.15,2.52
Data,96.0,815.20,27.52,37.83,1.27,335.88,40.59163,-105.14524,1911.9,1896.0,12.13,0.52,-1.16,2.72
Data,97.0,814.94,27.49,37.89,1.26,339.81,40.59166,-105.14525,1914.8,1899.5,12.13,0.44,-1.19,2.93
Data,98.0,814.66,27.47,38.13,1.29,343.16,40.59169,-105.14527,1917.9,1902.4,12.20,0.37,-1.23,3.05
Data,99.0,814.36,27.44,38.44,1.33,346.10,40.59170,-105.14530,1921.1,1905.5,12.30,0.32,-1.29,3.08
Data,100.0,814.07,27.42,38.80,1.39,348.73,40.59169,-105.14532,1924.2,1908.9,12.42,0.27,-1.37,2.98
Data,101.0,813.81,27.40,39.17,1.48,351.06,40.59167,-105.14534,1927.1,1911.8,12.54,0.23,-1.46,2.78
Data,102.0,813.57,27.37,39.52,1.59,353.05,40.59166,-105.14534,1929.8,1913.8,12.65,0.19,-1.58,2.54
Data,103.0,813.35,27.34,39.82,1.72,354.57,40.59165,-105.14534,1932.1,1916.4,12.74,0.16,-1.72,2.29
Data,104.0,813.15,27.31,40.04,1.87,355.47,40.59166,-105.14533,1934.3,1918.8,12.80,0.15,-1.86,2.08
Data,106.0,812.81,27.27,40.20,2.16,355.14,40.59169,-105.14532,1938.0,1922.1,12.82,0.18,-2.15,1.82
Data,107.0,812.64,27.25,40.27,2.29,353.81,40.59176,-105.14529,1939.9,1923.8,12.83,0.25,-2.28,1.76
Data,108.0,812.47,27.24,40.40,2.39,351.66,40.59180,-105.14527,1941.7,1925.8,12.87,0.35,-2.37,1.71
Data,109.0,812.31,27.23,40.51,2.48,348.73,40.59184,-105.14525,1943.4,1926.8,12.90,0.48,-2.43,1.67
Data,110.0,812.16,27.21,40.52,2.55,345.05,40.59187,-105.14523,1945.0,1928.2,12.89,0.66,-2.46,1.67
Data,111.0,812.01,27.20,40.52,2.61,340.76,40.59191,-105.14523,1946.7,1929.5,12.88,0.86,-2.47,1.73
Data,112.0,811.85,27.19,40.53,2.68,336.11,40.59194,-105.14525,1948.5,1931.7,12.87,1.09,-2.45,1.87
Data,113.0,811.67,27.18,40.41,2.76,331.41,40.59196,-105.14528,1950.4,1932.1,12.82,1.32,-2.42,2.08
Data,114.0,811.48,27.17,40.11,2.85,326.96,40.59196,-105.14532,1952.5,1933.1,12.69,1.55,-2.39,2.36
Data,115.0,811.26,27.15,39.79,2.95,323.07,40.59195,-105.14535,1954.9,1934.9,12.55,1.77,-2.36,2.69
Data,116.0,811.00,27.12,39.63,3.07,319.95,40.59195,-105.14538,1957.7,1936.2,12.47,1.98,-2.35,2.96
Data,117.0,810.71,27.08,39.61,3.19,317.67,40.59194,-105.14542,1960.9,1940.6,12.42,2.15,-2.36,3.10
Data,118.0,810.40,27.04,39.54,3.31,316.26,40.59195,-105.14545,1964.3,1945.5,12.36,2.29,-2.39,3.08
Data,119.0,810.11,27.00,39.37,3.42,315.65,40.59197,-105.14550,1967.5,1949.4,12.26,2.39,-2.44,2.86
Data,120.0,809.86,26.96,39.26,3.51,315.71,40.59200,-105.14555,1970.1,1952.9,12.18,2.45,-2.51,2.54
Data,121.0,809.66,26.92,39.32,3.58,316.35,40.59203,-105.14559,1972.4,1955.3,12.17,2.47,-2.59,2.23
Data,122.0,809.48,26.88,39.49,3.62,317.44,40.59205,-105.14563,1974.3,1956.1,12.20,2.45,-2.67,1.98
Data,123.0,809.31,26.85,39.74,3.65,318.86,40.59208,-105.14566,1976.2,1958.4,12.26,2.40,-2.75,1.84
Data,124.0,809.14,26.81,40.06,3.67,320.51,40.59212,-105.14568,1978.0,1959.5,12.35,2.33,-2.83,1.80
Data,125.0,808.97,26.78,40.35,3.66,322.29,40.59215,-105.14569,1979.9,1961.3,12.43,2.24,-2.90,1.84
Data,126.0,808.80,26.74,40.49,3.65,324.09,40.59219,-105.14570,1981.7,1963.3,12.45,2.14,-2.96,1.95
Data,127.0,808.62,26.71,40.52,3.63,325.85,40.59222,-105.14571,1983.7,1964.9,12.43,2.04,-3.00,2.15
Data,128.0,808.42,26.67,40.48,3.59,327.56,40.59225,-105.14572,1985.9,1966.3,12.38,1.93,-3.03,2.41
Data,129.0,808.19,26.63,40.42,3.55,329.19,40.59229,-105.14573,1988.4,1967.9,12.32,1.82,-3.05,2.69
Data,130.0,807.93,26.59,40.39,3.50,330.79,40.59232,-105.14574,1991.3,1970.0,12.28,1.71,-3.05,2.95
Data,131.0,807.64,26.55,40.45,3.44,332.42,40.59235,-105.14577,1994.5,1972.8,12.26,1.59,-3.05,3.10
Data,132.0,807.34,26.51,40.59,3.38,334.14,40.59238,-105.14581,1997.7,1976.5,12.27,1.47,-3.04,3.13
Data,133.0,807.05,26.48,40.76,3.32,336.02,40.59241,-105.14585,2000.8,1979.2,12.31,1.35,-3.03,3.07
Data,134.0,806.78,26.45,40.90,3.26,338.12,40.59243,-105.14589,2003.9,1982.0,12.33,1.21,-3.02,2.93
Data,135.0,806.51,26.43,41.04,3.22,340.40,40.59244,-105.14591,2006.7,1984.7,12.37,1.08,-3.03,2.79
Data,136.0,806.27,26.41,41.21,3.19,342.76,40.59246,-105.14592,2009.4,1986.6,12.41,0.95,-3.05,2.66
Data,137.0,806.04,26.39,41.39,3.19,345.07,40.59248,-105.14591,2012.0,1988.8,12.46,0.82,-3.09,2.64
Data,138.0,805.81,26.37,41.49,3.22,347.16,40.59250,-105.14590,2014.5,1990.7,12.48,0.72,-3.14,2.73
Data,139.0,805.56,26.34,41.42,3.28,348.89,40.59253,-105.14589,2017.2,1992.5,12.43,0.63,-3.22,2.91
Data,140.0,805.29,26.31,41.26,3.36,350.17,40.59255,-105.14588,2020.2,1994.9,12.34,0.57,-3.31,3.15
Data,141.0,804.98,26.28,41.33,3.46,351.00,40.59258,-105.14588,2023.6,1998.0,12.34,0.54,-3.42,3.36
Data,142.0,804.65,26.23,41.68,3.59,351.43,40.59260,-105.14589,2027.2,2002.3,12.42,0.53,-3.55,3.46
Data,143.0,804.33,26.19,42.00,3.73,351.49,40.59263,-105.14590,2030.7,2006.0,12.50,0.55,-3.68,3.47
Data,144.0,804.01,26.15,42.03,3.88,351.25,40.59266,-105.14590,2034.2,2009.3,12.47,0.59,-3.83,3.38
Data,145.0,803.71,26.12,41.76,4.03,350.77,40.59270,-105.14591,2037.5,2012.2,12.35,0.65,-3.98,3.23
Data,146.0,803.42,26.09,41.38,4.19,350.12,40.59274,-105.14592,2040.6,2014.9,12.19,0.72,-4.13,3.09
Data,147.0,803.15,26.07,41.18,4.34,349.32,40.59279,-105.14593,2043.6,2018.0,12.09,0.80,-4.27,2.97
Data,148.0,802.89,26.05,41.22,4.50,348.43,40.59284,-105.14596,2046.5,2021.4,12.09,0.90,-4.40,2.95
Data,150.0,802.36,26.02,41.43,4.79,346.43,40.59288,-105.14598,2052.3,2024.2,12.13,1.12,-4.65,3.20
Data,151.0,802.05,25.99,41.24,4.93,345.35,40.59296,-105.14599,2055.7,2029.9,12.05,1.25,-4.77,3.42
Data,152.0,801.72,25.97,40.96,5.08,344.22,40.59300,-105.14599,2059.4,2033.7,11.92,1.38,-4.89,3.52
Data,153.0,801.38,25.94,40.70,5.23,343.04,40.59304,-105.14600,2063.1,2037.3,11.80,1.52,-5.00,3.50
Data,154.0,801.06,25.92,40.43,5.37,341.83,40.59308,-105.14601,2066.6,2041.0,11.68,1.68,-5.11,3.39
Data,155.0,800.77,25.90,40.12,5.52,340.63,40.59312,-105.14604,2069.8,2044.3,11.55,1.83,-5.21,3.23
Data,156.0,800.49,25.89,39.87,5.66,339.45,40.59317,-105.14607,2072.8,2047.3,11.45,1.99,-5.30,3.09
Data,157.0,800.23,25.89,39.76,5.79,338.33,40.59322,-105.14610,2075.8,2049.9,11.40,2.14,-5.38,2.99
Data,158.0,799.95,25.89,39.74,5.92,337.28,40.59327,-105.14613,2078.8,2053.0,11.40,2.29,-5.46,2.92
Data,159.0,799.68,25.89,39.77,6.03,336.30,40.59333,-105.14616,2081.8,2056.2,11.41,2.42,-5.52,2.85
Data,160.0,799.41,25.90,39.80,6.13,335.40,40.59338,-105.14619,2084.7,2058.9,11.42,2.55,-5.57,2.81
Data,161.0,799.16,25.90,39.77,6.21,334.58,40.59344,-105.14623,2087.5,2062.3,11.42,2.67,-5.61,2.82
Data,162.0,798.91,25.91,39.69,6.28,333.85,40.59350,-105.14626,2090.2,2065.2,11.39,2.77,-5.64,2.96
Data,163.0,798.66,25.91,39.65,6.34,333.21,40.59355,-105.14631,2093.1,2068.3,11.38,2.86,-5.66,3.30
Data,164.0,798.35,25.91,39.75,6.38,332.67,40.59360,-105.14634,2096.4,2070.9,11.41,2.93,-5.67,3.74
Data,165.0,797.99,25.89,39.96,6.42,332.23,40.59365,-105.14638,2100.4,2074.0,11.48,2.99,-5.68,4.21
Data,166.0,797.57,25.86,40.18,6.46,331.91,40.59369,-105.14641,2105.1,2078.2,11.53,3.04,-5.70,4.59
Data,167.0,797.11,25.82,40.34,6.50,331.70,40.59373,-105.14644,2110.1,2083.0,11.56,3.08,-5.72,4.74
Data,168.0,796.68,25.78,40.42,6.54,331.62,40.59377,-105.14647,2114.9,2088.1,11.55,3.11,-5.75,4.71
Data,169.0,796.26,25.74,40.30,6.57,331.65,40.59381,-105.14651,2119.5,2094.0,11.47,3.12,-5.78,4.58
Data,170.0,795.87,25.71,39.87,6.60,331.80,40.59387,-105.14655,2123.9,2101.5,11.29,3.12,-5.81,4.39
Data,171.0,795.49,25.69,39.17,6.61,332.06,40.59394,-105.14660,2128.1,2109.9,11.00,3.10,-5.84,4.23
Data,172.0,795.11,25.67,38.39,6.61,332.41,40.59401,-105.14665,2132.2,2123.8,10.68,3.06,-5.86,4.11
Data,173.0,794.74,25.64,37.98,6.60,332.87,40.59408,-105.14670,2136.3,2133.3,10.49,3.01,-5.87,4.04
Data,174.0,794.39,25.61,38.08,6.58,333.46,40.59414,-105.14675,2140.3,2143.7,10.51,2.94,-5.88,3.99
Data,175.0,794.03,25.59,38.39,6.55,334.18,40.59419,-105.14679,2144.2,2152.8,10.61,2.85,-5.90,3.98
Data,176.0,793.68,25.58,38.54,6.53,335.03,40.59423,-105.14684,2148.1,2160.7,10.66,2.76,-5.92,3.96
Data,177.0,793.32,25.57,38.38,6.53,336.03,40.59426,-105.14688,2152.1,2165.9,10.59,2.65,-5.97,3.87
Data,178.0,792.96,25.57,37.86,6.55,337.11,40.59429,-105.14691,2156.1,2169.3,10.39,2.55,-6.03,3.69
Data,179.0,792.62,25.58,37.19,6.59,338.23,40.59432,-105.14692,2159.8,2169.0,10.13,2.44,-6.12,3.41
Data,180.0,792.33,25.58,36.68,6.65,339.33,40.59437,-105.14693,2163.1,2169.0,9.93,2.35,-6.22,3.04
Data,181.0,792.07,25.59,36.34,6.73,340.34,40.59444,-105.14692,2166.0,2172.1,9.80,2.26,-6.34,2.75
Data,182.0,791.85,25.60,36.21,6.82,341.22,40.59451,-105.14693,2168.4,2174.4,9.75,2.19,-6.45,2.58
Data,183.0,791.64,25.62,36.22,6.90,341.97,40.59459,-105.14694,2170.8,2176.4,9.77,2.14,-6.56,2.60
Data,184.0,791.41,25.63,36.27,6.98,342.63,40.59466,-105.14697,2173.3,2178.6,9.81,2.08,-6.67,2.84
Data,185.0,791.14,25.65,36.22,7.06,343.24,40.59473,-105.14701,2176.2,2182.3,9.80,2.04,-6.76,3.17
Data,186.0,790.84,25.66,36.00,7.13,343.82,40.59479,-105.14706,2179.7,2186.3,9.72,1.99,-6.85,3.52
Data,187.0,790.49,25.66,35.72,7.20,344.40,40.59484,-105.14709,2183.5,2190.3,9.61,1.94,-6.93,3.78
Data,188.0,790.13,25.67,35.53,7.27,344.98,40.59490,-105.14711,2187.5,2191.7,9.54,1.88,-7.02,3.86
Data,189.0,789.77,25.67,35.51,7.33,345.52,40.59495,-105.14712,2191.5,2192.7,9.53,1.83,-7.10,3.79
Data,190.0,789.43,25.67,35.64,7.40,345.99,40.59502,-105.14712,2195.3,2195.5,9.59,1.79,-7.18,3.59
Data,191.0,789.13,25.67,35.86,7.46,346.37,40.59509,-105.14711,2198.7,2198.4,9.67,1.76,-7.25,3.34
Data,192.0,788.85,25.66,36.05,7.51,346.67,40.59516,-105.14712,2201.8,2201.5,9.74,1.73,-7.31,3.17
Data,194.0,788.31,25.63,36.24,7.59,347.09,40.59524,-105.14714,2207.8,2204.1,9.79,1.70,-7.40,3.16
Data,195.0,788.02,25.61,36.37,7.62,347.27,40.59536,-105.14722,2211.0,2209.3,9.83,1.68,-7.43,3.33
Data,196.0,787.71,25.59,36.44,7.64,347.47,40.59542,-105.14725,2214.5,2211.6,9.84,1.66,-7.46,3.51
Data,197.0,787.38,25.58,36.36,7.65,347.66,40.59548,-105.14728,2218.1,2214.4,9.79,1.64,-7.48,3.67
Data,198.0,787.05,25.56,36.07,7.66,347.83,40.59554,-105.14730,2221.9,2218.3,9.66,1.61,-7.49,3.79
Data,199.0,786.71,25.54,35.74,7.66,347.97,40.59561,-105.14731,2225.7,2221.3,9.50,1.60,-7.49,3.85
Data,200.0,786.35,25.52,35.64,7.64,348.03,40.59568,-105.14731,2229.7,2223.9,9.45,1.59,-7.48,3.86
