FileFormat,CSV
Year,2021
Month,06
Day,25
Hour,17
Minute,38
Second,00
Ascending,"true"
latitude,40.590000,"units=deg"
longitude,-105.141500,"units=deg"
altitude,1571.9,"units=m"
gpsaltitude,1571.9,"units=m"
project,"PRE-CIP-2021"
agency,"CSU"
sondeid,"1838"
sondetype,"Storm Tracker"
launchsite,"Christman Field"
Fields,Time,Pressure,temp,RH,Speed,Direction,Latitude,Longitude,gpsalt,sats
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m
Data,   0.0, 840.34,24.95,46.30,  1.01, 59.13, 40.58999,-105.14160, 1554.9, 6
Data,   1.0, 840.38,24.95,46.60,  0.96,148.51, 40.58999,-105.14161, 1555.7, 6
Data,   2.0, 840.05,24.94,46.80,  1.15,148.51, 40.58998,-105.14160, 1556.2, 6
Data,   3.0, 839.39,24.87,46.60,  0.71,148.51, 40.58998,-105.14160, 1557.7, 6
Data,   4.0, 838.85,24.80,46.40,  5.10,277.03, 40.59001,-105.14163, 1561.9, 6
Data,   5.0, 838.43,24.74,46.20,  3.53,281.68, 40.59002,-105.14166, 1570.2, 6
Data,   6.0, 837.98,24.64,46.20,  6.49,316.32, 40.59005,-105.14171, 1575.4, 6
Data,   8.0, 836.81,24.41,46.30,  3.99,309.74, 40.59011,-105.14181, 1589.0, 6
Data,   9.0, 836.38,24.30,46.60,  0.82,309.74, 40.59012,-105.14181, 1595.2, 6
Data,  10.0, 835.64,24.15,47.00,  5.94,359.52, 40.59016,-105.14179, 1597.6, 6
Data,  11.0, 835.12,24.06,47.30,  8.53,349.18, 40.59023,-105.14179, 1602.7, 6
Data,  12.0, 834.85,23.90,47.70,  7.44,265.39, 40.59025,-105.14185, 1608.2, 6
Data,  13.0, 834.46,23.77,48.00,  8.18,262.77, 40.59024,-105.14195, 1610.5, 6
Data,  14.0, 834.16,23.64,48.40,  6.45,308.64, 40.59025,-105.14201, 1617.6, 6
Data,  15.0, 834.03,23.51,48.80,  9.68,329.45, 40.59031,-105.14207, 1623.3, 6
Data,  16.0, 833.70,23.41,49.20, 10.30,347.12, 40.59040,-105.14211, 1627.3, 6
Data,  17.0, 833.51,23.30,49.50,  6.56,354.64, 40.59047,-105.14213, 1631.2, 6
Data,  18.0, 833.23,23.20,49.90,  4.05,357.49, 40.59051,-105.14212, 1636.8, 6
Data,  19.0, 832.70,23.10,50.00,  4.14,  1.58, 40.59055,-105.14211, 1639.9, 6
Data,  21.0, 831.97,22.91,50.40,  2.15, 21.95, 40.59060,-105.14207, 1655.0, 6
Data,  22.0, 831.82,22.84,50.60,  0.74, 21.95, 40.59062,-105.14207, 1657.1, 6
Data,  23.0, 831.22,22.73,50.80,  3.90,157.29, 40.59060,-105.14210, 1658.0, 6
Data,  24.0, 830.75,22.63,51.00,  3.44,206.42, 40.59060,-105.14213, 1662.5, 6
Data,  25.0, 830.53,22.55,51.30,  5.17,337.59, 40.59062,-105.14216, 1668.3, 6
Data,  26.0, 829.97,22.46,51.60,  9.92,332.32, 40.59071,-105.14221, 1667.8, 6
Data,  27.0, 829.62,22.36,51.90,  9.94,316.24, 40.59078,-105.14228, 1669.4, 6
Data,  28.0, 829.38,22.31,52.10,  6.90,310.36, 40.59082,-105.14235, 1676.4, 6
Data,  29.0, 829.17,22.24,52.40,  1.73,310.03, 40.59084,-105.14237, 1679.0, 6
Data,  30.0, 828.60,22.15,52.60,  3.71, 50.56, 40.59084,-105.14236, 1680.8, 6
Data,  31.0, 828.03,22.08,52.80,  5.11, 57.92, 40.59085,-105.14231, 1684.0, 6
Data,  32.0, 827.70,22.00,52.90,  5.90,352.31, 40.59089,-105.14229, 1689.4, 6
Data,  33.0, 827.40,21.94,53.10,  8.70,321.59, 40.59093,-105.14231, 1698.3, 6
Data,  34.0, 826.82,21.86,53.30,  9.23,311.63, 40.59099,-105.14239, 1702.7, 6
Data,  35.0, 826.46,21.81,53.50,  4.30,307.69, 40.59101,-105.14245, 1706.7, 6
Data,  36.0, 825.91,21.74,53.70,  1.50,307.69, 40.59101,-105.14249, 1708.9, 6
Data,  37.0, 825.67,21.67,53.90,  1.87,307.69, 40.59100,-105.14247, 1717.1, 6
Data,  38.0, 825.45,21.60,54.10,  4.26,359.02, 40.59100,-105.14244, 1721.4, 6
Data,  39.0, 825.02,21.56,54.30,  4.09,  5.74, 40.59103,-105.14242, 1724.9, 6
Data,  40.0, 824.74,21.50,54.50,  7.17,337.53, 40.59108,-105.14244, 1728.6, 6
Data,  41.0, 824.31,21.44,54.70,  4.81,342.96, 40.59114,-105.14246, 1730.9, 6
Data,  42.0, 823.84,21.39,54.70,  4.12,318.16, 40.59117,-105.14251, 1732.7, 6
Data,  43.0, 823.50,21.35,54.70,  2.94,303.67, 40.59118,-105.14254, 1734.5, 6
Data,  44.0, 822.90,21.29,54.80,  0.66,303.67, 40.59117,-105.14255, 1737.9, 6
Data,  45.0, 822.52,21.26,54.90,  3.10,  7.23, 40.59119,-105.14254, 1739.7, 6
Data,  46.0, 822.09,21.21,55.00,  5.90,  7.53, 40.59124,-105.14254, 1741.6, 6
Data,  47.0, 821.45,21.16,55.00,  6.23,  5.82, 40.59129,-105.14252, 1745.1, 6
Data,  48.0, 821.02,21.11,55.10,  9.54,323.70, 40.59135,-105.14256, 1748.5, 6
Data,  49.0, 820.68,21.08,54.90,  7.73,299.41, 40.59139,-105.14264, 1752.2, 6
Data,  50.0, 820.17,21.02,54.80,  3.63,295.00, 40.59140,-105.14269, 1756.1, 6
Data,  51.0, 819.72,20.99,54.70,  1.02,295.00, 40.59140,-105.14271, 1760.5, 6
Data,  52.0, 819.28,20.96,54.70,  0.30,295.00, 40.59139,-105.14271, 1766.2, 6
Data,  53.0, 818.71,20.91,54.70,  3.75,310.55, 40.59141,-105.14273, 1770.7, 6
Data,  54.0, 818.20,20.87,54.80,  7.34,316.07, 40.59145,-105.14279, 1776.8, 6
Data,  55.0, 817.92,20.84,55.10,  7.48,295.82, 40.59149,-105.14286, 1780.8, 6
Data,  56.0, 817.65,20.80,55.50,  8.17,276.18, 40.59150,-105.14295, 1784.6, 6
Data,  57.0, 817.08,20.77,55.70,  4.41,275.54, 40.59150,-105.14301, 1788.2, 6
Data,  58.0, 816.77,20.75,55.80,  2.64,257.42, 40.59150,-105.14305, 1791.5, 6
Data,  59.0, 816.49,20.70,55.80,  0.76,257.42, 40.59149,-105.14307, 1795.5, 6
Data,  60.0, 816.02,20.68,55.90,  2.21,289.69, 40.59150,-105.14308, 1799.2, 6
Data,  61.0, 815.47,20.63,55.80,  6.79,320.38, 40.59153,-105.14313, 1805.8, 6
Data,  62.0, 814.99,20.58,56.10,  7.71,309.82, 40.59157,-105.14319, 1812.9, 6
Data,  63.0, 814.55,20.55,56.30,  6.73,296.60, 40.59160,-105.14326, 1818.9, 6
Data,  64.0, 813.95,20.49,56.50,  4.85,292.40, 40.59162,-105.14333, 1824.8, 6
Data,  65.0, 813.59,20.47,56.70,  1.49,291.52, 40.59163,-105.14336, 1830.3, 6
Data,  66.0, 813.14,20.42,56.80,  1.77,298.69, 40.59163,-105.14338, 1833.3, 6
Data,  67.0, 812.67,20.38,56.90,  2.67,306.69, 40.59164,-105.14340, 1839.3, 6
Data,  68.0, 812.22,20.35,57.00,  4.27,306.62, 40.59166,-105.14343, 1843.7, 6
Data,  69.0, 811.78,20.29,57.10,  5.90,298.75, 40.59168,-105.14349, 1847.6, 6
Data,  70.0, 811.38,20.28,57.40,  4.36,274.53, 40.59168,-105.14355, 1852.2, 6
Data,  71.0, 811.09,20.26,57.60,  3.23,274.84, 40.59168,-105.14359, 1855.7, 6
Data,  72.0, 810.66,20.23,57.60,  3.15,280.41, 40.59168,-105.14363, 1859.2, 6
Data,  73.0, 810.02,20.19,57.80,  2.94,304.69, 40.59169,-105.14365, 1864.2, 6
Data,  74.0, 809.46,20.12,57.60,  5.32,331.03, 40.59172,-105.14367, 1870.9, 6
Data,  75.0, 809.01,20.09,56.30,  6.21,314.91, 40.59176,-105.14372, 1876.6, 6
Data,  76.0, 808.59,20.06,55.50,  4.51,311.46, 40.59179,-105.14377, 1882.3, 6
Data,  77.0, 808.25,20.03,55.10,  3.51,303.74, 40.59180,-105.14381, 1886.7, 6
Data,  78.0, 807.83,20.01,54.40,  2.55,293.30, 40.59181,-105.14384, 1890.7, 6
Data,  79.0, 807.35,19.95,53.20,  1.05,293.30, 40.59181,-105.14387, 1895.0, 6
Data,  80.0, 807.03,19.93,52.50,  1.32,317.71, 40.59181,-105.14387, 1900.1, 6
Data,  81.0, 806.76,19.92,51.50,  3.14,303.88, 40.59183,-105.14388, 1905.2, 6
Data,  82.0, 806.30,19.89,49.70,  3.64,314.07, 40.59184,-105.14391, 1908.8, 6
Data,  83.0, 805.95,19.86,49.20,  4.24,308.35, 40.59186,-105.14394, 1914.8, 6
Data,  84.0, 805.52,19.83,48.90,  4.17,295.29, 40.59188,-105.14399, 1918.0, 6
Data,  85.0, 805.13,19.80,48.70,  3.70,294.52, 40.59189,-105.14403, 1922.1, 6
Data,  86.0, 804.76,19.78,49.00,  1.65,298.79, 40.59190,-105.14405, 1926.9, 6
Data,  87.0, 804.43,19.74,49.40,  2.31,343.77, 40.59191,-105.14405, 1930.9, 6
Data,  88.0, 804.00,19.73,49.30,  4.41,  4.85, 40.59194,-105.14405, 1933.4, 6
Data,  89.0, 803.62,19.70,49.50,  5.76,  1.43, 40.59199,-105.14405, 1937.5, 6
Data,  90.0, 803.10,19.67,49.30,  4.44,346.51, 40.59203,-105.14407, 1942.4, 6
Data,  91.0, 802.76,19.65,48.70,  3.05,338.36, 40.59205,-105.14409, 1948.0, 6
Data,  92.0, 802.32,19.63,48.20,  2.56,310.99, 40.59206,-105.14412, 1952.0, 6
Data,  93.0, 802.09,19.61,47.80,  3.42,263.07, 40.59205,-105.14415, 1956.0, 6
Data,  94.0, 801.68,19.60,47.60,  4.32,249.15, 40.59202,-105.14418, 1959.8, 6
Data,  95.0, 801.31,19.58,47.50,  6.55,153.16, 40.59197,-105.14415, 1964.8, 6
Data,  96.0, 801.00,19.57,47.40,  1.00,153.16, 40.59196,-105.14415, 1967.0, 6
Data,  97.0, 800.47,19.53,47.30,  1.58,153.16, 40.59196,-105.14413, 1971.2, 6
Data,  98.0, 800.11,19.51,46.80,  2.08, 72.32, 40.59198,-105.14414, 1975.3, 6
Data,  99.0, 799.66,19.50,46.60,  2.59, 25.83, 40.59199,-105.14415, 1979.9, 6
Data, 100.0, 799.28,19.48,46.40,  2.98,342.30, 40.59201,-105.14418, 1984.2, 6
Data, 101.0, 798.90,19.47,46.30,  4.20,303.13, 40.59201,-105.14423, 1989.0, 6
Data, 102.0, 798.49,19.44,46.10,  3.39,281.42, 40.59200,-105.14427, 1993.0, 6
Data, 103.0, 798.00,19.43,45.90,  2.11,235.24, 40.59198,-105.14429, 1996.8, 6
Data, 104.0, 797.67,19.42,45.60,  1.58,221.20, 40.59197,-105.14430, 2001.5, 6
Data, 105.0, 797.24,19.39,45.30,  0.19,221.20, 40.59196,-105.14431, 2005.7, 6
Data, 106.0, 796.77,19.37,45.10,  1.88,137.01, 40.59196,-105.14429, 2010.7, 6
Data, 107.0, 796.26,19.37,45.00,  2.87, 39.11, 40.59198,-105.14428, 2014.7, 6
Data, 108.0, 795.84,19.35,44.90,  3.65,353.42, 40.59200,-105.14430, 2019.5, 6
Data, 109.0, 795.44,19.34,44.80,  2.41,340.61, 40.59201,-105.14431, 2024.6, 6
Data, 110.0, 794.98,19.31,44.70,  2.16,305.68, 40.59201,-105.14434, 2029.5, 6
Data, 111.0, 794.64,19.31,44.70,  2.50,267.61, 40.59200,-105.14436, 2034.1, 6
Data, 112.0, 794.30,19.30,44.70,  2.83,244.32, 40.59199,-105.14439, 2038.0, 6
Data, 113.0, 793.91,19.29,44.60,  1.87,223.70, 40.59197,-105.14440, 2041.7, 6
Data, 114.0, 793.61,19.29,44.60,  0.88,223.70, 40.59195,-105.14440, 2045.4, 6
Data, 115.0, 793.12,19.29,44.60,  0.93,186.31, 40.59195,-105.14439, 2048.4, 6
Data, 116.0, 792.80,19.27,44.60,  1.37, 59.70, 40.59196,-105.14438, 2052.7, 6
Data, 117.0, 792.39,19.25,44.60,  1.61,  2.49, 40.59198,-105.14439, 2056.4, 6
Data, 118.0, 792.05,19.24,44.60,  0.69,  3.48, 40.59198,-105.14439, 2061.0, 6
Data, 119.0, 791.69,19.22,44.60,  0.41,  3.48, 40.59198,-105.14438, 2065.6, 6
Data, 120.0, 791.25,19.22,44.60,  0.65,  3.48, 40.59199,-105.14439, 2069.7, 6
Data, 121.0, 790.94,19.21,44.60,  0.86,317.45, 40.59198,-105.14440, 2073.8, 6
Data, 122.0, 790.56,19.19,44.60,  1.05,255.63, 40.59197,-105.14441, 2077.0, 6
Data, 123.0, 790.18,19.18,44.60,  1.17,235.66, 40.59197,-105.14442, 2080.7, 6
Data, 124.0, 789.91,19.17,44.70,  1.56,222.23, 40.59195,-105.14442, 2085.0, 6
Data, 125.0, 789.46,19.16,44.70,  1.33,214.01, 40.59194,-105.14443, 2088.5, 6
Data, 126.0, 789.04,19.12,44.80,  0.81,207.65, 40.59193,-105.14443, 2093.3, 6
Data, 127.0, 788.68,19.09,44.80,  0.97,206.64, 40.59192,-105.14444, 2098.4, 6
Data, 128.0, 788.18,19.07,44.90,  0.60,206.64, 40.59192,-105.14445, 2103.2, 6
Data, 129.0, 787.82,19.05,45.00,  0.46,206.64, 40.59191,-105.14445, 2108.2, 6
Data, 130.0, 787.44,19.05,45.20,  0.92,135.92, 40.59192,-105.14445, 2112.4, 6
Data, 131.0, 787.09,19.03,45.40,  1.59, 90.35, 40.59192,-105.14443, 2116.8, 6
Data, 132.0, 786.71,19.02,45.60,  1.73, 85.14, 40.59193,-105.14442, 2120.2, 6
Data, 133.0, 786.36,19.02,45.80,  1.53, 82.97, 40.59193,-105.14440, 2124.3, 6
Data, 134.0, 785.90,19.00,46.20,  1.61, 85.76, 40.59193,-105.14438, 2128.5, 6
Data, 135.0, 785.52,18.99,46.80,  1.12,101.02, 40.59193,-105.14437, 2132.8, 6
Data, 136.0, 785.16,18.98,47.10,  0.55,101.02, 40.59192,-105.14436, 2136.4, 6
Data, 137.0, 784.75,18.94,47.40,  0.29,101.02, 40.59193,-105.14436, 2140.2, 6
Data, 138.0, 784.39,18.91,47.80,  0.38,101.02, 40.59193,-105.14437, 2144.1, 6
Data, 139.0, 783.93,18.87,48.20,  0.39,101.02, 40.59193,-105.14437, 2147.8, 6
Data, 140.0, 783.59,18.85,48.50,  0.48,101.02, 40.59193,-105.14437, 2151.6, 6
Data, 141.0, 783.16,18.81,48.80,  0.21,101.02, 40.59193,-105.14438, 2155.2, 6
Data, 142.0, 782.90,18.79,49.10,  0.65,101.02, 40.59192,-105.14438, 2159.5, 6
Data, 143.0, 782.55,18.77,49.30,  1.52,111.63, 40.59191,-105.14436, 2163.1, 6
Data, 144.0, 782.18,18.76,49.50,  2.05,116.11, 40.59190,-105.14434, 2166.9, 6
Data, 145.0, 781.89,18.74,49.60,  2.61,107.67, 40.59189,-105.14430, 2171.1, 6
Data, 146.0, 781.51,18.71,49.80,  2.33,105.33, 40.59187,-105.14426, 2176.3, 6
Data, 147.0, 781.15,18.70,49.90,  2.34,108.71, 40.59186,-105.14423, 2180.6, 6
Data, 148.0, 780.71,18.66,50.00,  1.97,109.07, 40.59185,-105.14420, 2185.7, 6
Data, 149.0, 780.42,18.66,50.10,  1.76,120.86, 40.59184,-105.14418, 2190.4, 6
Data, 150.0, 780.01,18.63,50.20,  0.66,120.86, 40.59184,-105.14417, 2194.3, 6
Data, 151.0, 779.72,18.60,50.20,  0.74,120.86, 40.59183,-105.14417, 2197.9, 6
Data, 152.0, 779.33,18.58,50.30,  1.01,142.12, 40.59182,-105.14418, 2201.2, 6
Data, 153.0, 779.01,18.57,50.30,  0.88,142.12, 40.59181,-105.14419, 2205.2, 6
Data, 154.0, 778.52,18.54,50.40,  0.77,142.12, 40.59180,-105.14419, 2209.1, 6
Data, 155.0, 778.20,18.53,50.40,  1.10,135.08, 40.59180,-105.14418, 2212.9, 6
Data, 156.0, 777.80,18.47,50.50,  1.82,124.28, 40.59179,-105.14416, 2217.6, 6
Data, 157.0, 777.35,18.45,50.60,  2.26,118.98, 40.59178,-105.14413, 2221.9, 6
Data, 158.0, 777.05,18.45,50.60,  2.48,112.51, 40.59177,-105.14410, 2226.8, 6
Data, 159.0, 776.72,18.43,50.60,  2.92,118.95, 40.59176,-105.14407, 2231.1, 6
Data, 160.0, 776.44,18.41,50.60,  2.69,122.21, 40.59174,-105.14405, 2233.8, 6
Data, 161.0, 776.12,18.41,50.70,  1.87,119.84, 40.59173,-105.14403, 2237.2, 6
Data, 162.0, 775.76,18.39,50.70,  1.52,120.48, 40.59173,-105.14401, 2240.1, 6
Data, 163.0, 775.42,18.36,50.70,  1.41,124.28, 40.59172,-105.14400, 2244.3, 6
Data, 164.0, 775.04,18.34,50.80,  1.48,121.96, 40.59171,-105.14398, 2247.7, 6
Data, 165.0, 774.73,18.32,50.90,  1.70,118.17, 40.59171,-105.14396, 2251.2, 6
Data, 166.0, 774.31,18.28,51.00,  2.02,111.90, 40.59170,-105.14394, 2254.9, 6
Data, 167.0, 773.88,18.25,51.10,  2.19,105.99, 40.59169,-105.14391, 2259.1, 6
Data, 168.0, 773.53,18.22,51.20,  2.34,103.86, 40.59169,-105.14388, 2264.4, 6
Data, 169.0, 773.12,18.18,51.40,  2.59,114.86, 40.59168,-105.14386, 2268.4, 6
Data, 170.0, 772.75,18.14,51.50,  1.64,110.97, 40.59167,-105.14384, 2271.7, 6
Data, 171.0, 772.43,18.11,51.60,  1.85,108.30, 40.59167,-105.14381, 2276.8, 6
Data, 172.0, 772.00,18.05,51.80,  2.54,111.40, 40.59166,-105.14379, 2280.7, 6
Data, 173.0, 771.57,18.02,51.90,  2.77,115.51, 40.59165,-105.14376, 2284.9, 6
Data, 174.0, 771.18,18.00,52.10,  2.65,119.17, 40.59164,-105.14373, 2289.2, 6
Data, 175.0, 770.80,17.97,52.20,  2.29,117.61, 40.59163,-105.14371, 2293.0, 6
Data, 176.0, 770.47,17.94,52.30,  2.70,113.98, 40.59162,-105.14368, 2297.0, 6
Data, 177.0, 770.14,17.89,52.30,  3.09,114.01, 40.59161,-105.14364, 2301.4, 6
Data, 178.0, 769.85,17.88,52.40,  3.38,121.87, 40.59159,-105.14361, 2305.1, 6
Data, 179.0, 769.46,17.87,52.40,  2.68,123.76, 40.59158,-105.14359, 2308.6, 6
Data, 180.0, 769.17,17.85,52.30,  2.54,117.57, 40.59156,-105.14356, 2312.4, 6
Data, 181.0, 768.80,17.82,52.30,  2.85,111.19, 40.59155,-105.14353, 2316.3, 6
Data, 182.0, 768.50,17.80,52.30,  2.87,110.22, 40.59155,-105.14349, 2320.6, 6
Data, 183.0, 768.06,17.76,52.30,  2.73,109.33, 40.59154,-105.14346, 2324.3, 6
Data, 184.0, 767.66,17.72,52.40,  2.84,105.42, 40.59153,-105.14343, 2328.5, 6
Data, 185.0, 767.41,17.73,52.40,  2.65,106.51, 40.59152,-105.14339, 2333.4, 6
Data, 186.0, 766.96,17.70,52.50,  2.86,106.44, 40.59151,-105.14336, 2337.4, 6
Data, 187.0, 766.63,17.69,52.50,  3.01,114.44, 40.59150,-105.14333, 2342.3, 6
Data, 188.0, 766.23,17.64,52.60,  2.61,119.57, 40.59149,-105.14330, 2346.8, 6
Data, 189.0, 765.74,17.61,52.60,  2.23,118.94, 40.59148,-105.14328, 2351.4, 6
Data, 190.0, 765.36,17.55,52.70,  2.32,115.25, 40.59147,-105.14325, 2355.9, 6
Data, 191.0, 764.87,17.53,52.70,  2.12,117.25, 40.59146,-105.14322, 2360.3, 6
Data, 192.0, 764.54,17.50,52.70,  1.81,121.99, 40.59145,-105.14320, 2365.2, 6
Data, 193.0, 764.08,17.46,52.60,  0.85,121.99, 40.59145,-105.14319, 2369.2, 6
Data, 194.0, 763.55,17.44,52.60,  1.26, 97.57, 40.59145,-105.14318, 2373.7, 6
Data, 195.0, 763.12,17.39,52.60,  1.27, 85.74, 40.59145,-105.14317, 2378.5, 6
Data, 196.0, 762.66,17.36,52.70,  2.09, 92.00, 40.59145,-105.14315, 2383.7, 6
Data, 197.0, 762.36,17.32,52.80,  2.33,105.54, 40.59144,-105.14312, 2389.1, 6
Data, 198.0, 761.88,17.27,52.90,  1.74,110.64, 40.59144,-105.14310, 2392.4, 6
Data, 199.0, 761.44,17.24,52.90,  0.89,119.30, 40.59143,-105.14309, 2397.1, 6
Data, 200.0, 761.00,17.20,52.90,  0.74,119.30, 40.59143,-105.14308, 2402.2, 6
Data, 201.0, 760.44,17.14,52.90,  1.41, 99.04, 40.59143,-105.14307, 2407.6, 6
Data, 202.0, 760.11,17.10,53.00,  2.91, 94.47, 40.59143,-105.14303, 2413.2, 6
Data, 203.0, 759.67,17.08,53.00,  3.48, 96.10, 40.59142,-105.14299, 2417.4, 6
Data, 204.0, 759.18,17.03,53.10,  3.84, 94.42, 40.59141,-105.14295, 2421.8, 6
Data, 205.0, 758.91,17.00,53.30,  3.17, 88.59, 40.59141,-105.14291, 2428.0, 6
Data, 206.0, 758.48,16.97,53.50,  2.81, 92.00, 40.59141,-105.14287, 2432.2, 6
Data, 207.0, 758.00,16.91,53.60,  3.10,103.18, 40.59141,-105.14284, 2436.5, 6
Data, 208.0, 757.58,16.86,53.70,  4.04,115.12, 40.59139,-105.14280, 2441.8, 6
Data, 209.0, 757.15,16.83,53.80,  5.32,129.49, 40.59136,-105.14276, 2445.9, 6
Data, 210.0, 756.62,16.79,54.00,  4.41,134.50, 40.59133,-105.14273, 2450.8, 6
Data, 211.0, 756.25,16.73,54.00,  4.12,139.61, 40.59130,-105.14270, 2456.3, 6
Data, 212.0, 755.91,16.71,54.20,  2.99,139.11, 40.59128,-105.14267, 2461.4, 6
Data, 213.0, 755.35,16.65,54.30,  2.34,129.71, 40.59127,-105.14264, 2465.5, 6
Data, 214.0, 754.85,16.58,54.40,  3.35, 96.18, 40.59127,-105.14261, 2471.6, 6
Data, 216.0, 754.10,16.51,54.60,  4.33, 86.62, 40.59128,-105.14252, 2480.9, 6
Data, 217.0, 753.68,16.48,54.70,  4.94, 79.49, 40.59129,-105.14246, 2485.4, 6
Data, 218.0, 753.27,16.43,54.80,  5.16, 78.33, 40.59130,-105.14241, 2489.8, 6
Data, 219.0, 752.85,16.38,54.90,  3.84, 77.36, 40.59131,-105.14236, 2492.6, 6
Data, 220.0, 752.53,16.35,55.00,  5.67, 93.62, 40.59131,-105.14230, 2497.4, 6
Data, 221.0, 752.04,16.29,55.10,  4.81,100.67, 40.59130,-105.14224, 2501.7, 6
Data, 222.0, 751.65,16.22,55.20,  3.43,110.66, 40.59129,-105.14220, 2506.7, 6
Data, 223.0, 751.30,16.21,55.40,  2.87,121.02, 40.59127,-105.14217, 2511.3, 6
Data, 226.0, 750.06,16.05,55.70,  4.46,116.65, 40.59122,-105.14206, 2525.9, 6
Data, 227.0, 749.68,16.00,55.90,  4.96,111.79, 40.59121,-105.14200, 2529.4, 6
Data, 228.0, 749.24,15.96,56.00,  4.46,106.63, 40.59120,-105.14195, 2533.6, 6
Data, 229.0, 748.96,15.94,56.10,  4.33,104.34, 40.59119,-105.14188, 2538.4, 6
Data, 230.0, 748.42,15.89,56.20,  4.03,101.82, 40.59118,-105.14184, 2542.0, 6
Data, 231.0, 747.95,15.82,56.30,  4.49, 98.19, 40.59117,-105.14178, 2547.2, 6
Data, 232.0, 747.64,15.79,56.40,  4.89, 97.33, 40.59117,-105.14173, 2552.6, 6
Data, 233.0, 747.17,15.74,56.50,  5.32,102.09, 40.59116,-105.14167, 2557.4, 6
Data, 234.0, 746.59,15.72,56.70,  5.91,112.60, 40.59114,-105.14161, 2562.0, 6
Data, 235.0, 746.12,15.66,56.90,  6.96,134.62, 40.59110,-105.14154, 2568.2, 6
Data, 236.0, 745.61,15.61,57.00,  7.91,135.09, 40.59105,-105.14148, 2573.6, 6
Data, 237.0, 745.04,15.55,57.10,  8.36,128.04, 40.59101,-105.14141, 2578.2, 6
Data, 238.0, 744.64,15.51,57.20,  7.98,113.24, 40.59097,-105.14133, 2584.2, 6
Data, 239.0, 744.32,15.49,57.30,  6.56,110.44, 40.59095,-105.14125, 2589.2, 6
Data, 240.0, 744.07,15.47,57.30,  7.21,105.46, 40.59093,-105.14116, 2594.0, 6
Data, 241.0, 743.73,15.46,57.30,  5.39, 97.07, 40.59092,-105.14109, 2597.9, 6
Data, 242.0, 743.53,15.45,57.10,  3.71, 95.89, 40.59092,-105.14104, 2601.4, 6
Data, 243.0, 743.23,15.41,56.90,  2.07, 98.84, 40.59092,-105.14101, 2603.3, 6
Data, 244.0, 742.89,15.40,56.80,  2.00,101.43, 40.59091,-105.14099, 2606.4, 6
Data, 245.0, 742.53,15.38,56.70,  3.76,110.44, 40.59090,-105.14096, 2610.1, 6
Data, 246.0, 742.27,15.36,56.60,  4.49,108.21, 40.59089,-105.14091, 2614.8, 6
Data, 247.0, 741.84,15.34,56.60,  4.82,108.06, 40.59087,-105.14085, 2618.1, 6
Data, 248.0, 741.54,15.31,56.50,  4.76,105.74, 40.59086,-105.14080, 2622.1, 6
Data, 249.0, 741.15,15.30,56.50,  4.62,104.24, 40.59085,-105.14075, 2626.1, 6
Data, 250.0, 740.72,15.24,56.70,  5.21,101.05, 40.59085,-105.14069, 2630.3, 6
Data, 251.0, 740.36,15.21,57.00,  5.99,102.18, 40.59084,-105.14062, 2634.8, 6
Data, 252.0, 740.05,15.19,57.10,  5.81,104.88, 40.59082,-105.14056, 2638.3, 6
Data, 253.0, 739.53,15.14,57.30,  5.34,105.94, 40.59081,-105.14050, 2641.8, 6
Data, 254.0, 739.09,15.08,57.50,  4.04, 98.97, 40.59080,-105.14044, 2646.9, 6
Data, 255.0, 738.72,15.05,57.40,  4.58, 89.33, 40.59080,-105.14039, 2651.9, 6
Data, 256.0, 738.18,15.00,57.30,  4.68, 87.69, 40.59080,-105.14033, 2656.5, 6
Data, 257.0, 737.88,14.95,57.40,  5.09, 94.65, 40.59079,-105.14026, 2661.9, 6
Data, 258.0, 737.46,14.90,57.50,  5.73,104.22, 40.59077,-105.14020, 2666.4, 6
Data, 259.0, 737.07,14.88,57.50,  6.58,110.06, 40.59075,-105.14012, 2671.1, 6
Data, 260.0, 736.67,14.84,57.70,  6.39,109.50, 40.59073,-105.14006, 2674.9, 6
Data, 261.0, 736.26,14.79,57.90,  6.01,107.96, 40.59071,-105.13999, 2678.9, 6
Data, 262.0, 735.89,14.75,57.90,  6.34,107.12, 40.59070,-105.13992, 2683.5, 6
Data, 263.0, 735.37,14.67,58.00,  6.26,102.69, 40.59068,-105.13984, 2688.4, 6
Data, 264.0, 734.93,14.64,58.20,  6.35, 91.23, 40.59068,-105.13976, 2694.3, 6
Data, 265.0, 734.46,14.59,58.40,  5.69, 82.32, 40.59068,-105.13969, 2699.8, 6
Data, 266.0, 734.01,14.56,58.50,  5.03, 75.37, 40.59070,-105.13964, 2704.7, 6
Data, 267.0, 733.35,14.50,58.70,  3.58, 71.09, 40.59071,-105.13959, 2709.8, 6
Data, 268.0, 732.57,14.42,58.90,  2.16, 71.24, 40.59072,-105.13957, 2716.4, 6
Data, 269.0, 732.17,14.34,59.00,  2.33,131.27, 40.59071,-105.13954, 2724.6, 6
Data, 270.0, 731.73,14.31,59.10,  4.16,133.45, 40.59069,-105.13951, 2729.8, 6
Data, 271.0, 731.22,14.26,59.10,  4.81,124.01, 40.59067,-105.13947, 2734.5, 6
Data, 272.0, 730.67,14.18,59.10,  6.03,106.42, 40.59066,-105.13941, 2740.3, 6
